DOY,MeanT,Rain,MeanPET
1,17.21,0.35,5.6
2,18.04,2.07,5.6
3,17.82,1.54,5.5
4,16.85,1.83,4.9
5,16.62,1.15,5
6,16.92,0.77,4.9
7,17.22,1.74,4.9
8,17.16,1.37,5.1
9,17.12,1.77,5.3
10,16.75,2.6,4.8
11,16.45,3.42,4.4
12,16.59,2.7,4.5
13,16.28,1.02,4.5
14,16.58,1.01,5.1
15,17.02,0.95,5.2
16,17.2,0.28,5.4
17,17.34,0.93,5.2
18,17.22,3.35,4.7
19,17.26,0.78,5.7
20,16.96,0.42,5
21,16.93,1.12,4.7
22,17.9,2.28,5.2
23,17.77,0.85,4.8
24,17.11,0.85,4.4
25,17.1,0.63,4.4
26,17.09,1.88,4.7
27,17.04,1.63,4.6
28,17.23,0.78,4.8
29,17.65,0.18,4.6
30,18.27,0.13,5.2
31,18.73,1.06,5
32,18.28,0.99,4.8
33,17.82,0.45,5
34,17.73,0.44,4.7
35,17.79,2.59,4.7
36,17.23,2.14,4.1
37,16.78,0.24,4.9
38,16.82,1.15,4.3
39,16.89,1.18,4.5
40,17.36,2.29,4.4
41,17.33,1.03,4
42,17.56,2.39,4.4
43,17.72,3.69,4.2
44,17.07,1.64,3.9
45,16.47,2.25,3.5
46,16.14,2.45,3.8
47,16.34,0.89,4.1
48,17.11,1.75,4.2
49,17.64,0.39,4.2
50,17.57,2.03,3.8
51,17.18,2.97,4
52,17.31,0.71,4.4
53,17.06,2.7,3.8
54,16.15,2.14,3.4
55,16.29,0.71,4.3
56,16.62,0.45,3.8
57,16.35,1.83,3.5
58,16.41,0.59,3.7
59,16.58,1.05,3.8
60,16.58,1.05,3.8
61,16.32,1.21,3.6
62,16.23,2.68,3.8
63,15.47,1.22,3.6
64,15.04,2.52,3.6
65,15.72,2.6,3.4
66,16.59,1.21,3.7
67,15.76,2.23,2.9
68,14.98,1.17,3.3
69,15.31,0.13,3
70,15.46,1.6,3
71,14.99,1.66,2.6
72,14.61,2.23,3
73,14.61,3.38,2.6
74,14.59,0.93,2.9
75,15.01,2.27,2.7
76,14.71,1.73,2.6
77,14.27,0.74,2.7
78,14.09,0.97,2.6
79,14.65,1.79,2.9
80,15.47,0.45,2.8
81,15.38,3.74,2.8
82,14.8,0.7,2.7
83,14.39,1.61,2.6
84,14.3,0.57,2.5
85,14.52,0.63,2.6
86,14.77,1.33,2.5
87,14.9,0.85,2.4
88,14.75,2.13,2.3
89,14.55,1.51,2.4
90,14.71,0.83,2.4
91,14.6,1.68,2.4
92,14.26,1.41,2.4
93,13.65,0.77,2.2
94,13.5,0.41,2.3
95,13.6,2.33,2.3
96,13.22,3.02,2.1
97,13.18,3.43,1.9
98,12.91,1.76,1.8
99,12.3,1.37,1.8
100,12.01,2.29,1.9
101,12.13,1.79,1.9
102,12.47,2,1.6
103,12.62,0.99,1.8
104,12.14,2.4,1.8
105,11.76,0.36,1.9
106,11.99,0.75,1.9
107,12.12,1.26,1.5
108,12.06,3.61,1.4
109,11.71,1.11,1.4
110,11.59,1.65,1.5
111,12.04,1.56,1.7
112,11.94,1.75,1.4
113,11.38,0.42,1.4
114,11.37,1.19,1.5
115,11.25,2.87,1.3
116,11.07,1.26,1.4
117,11.47,0.88,1.3
118,11.92,1.78,1.4
119,11.56,4.81,1.3
120,10.86,3.37,1.1
121,10.59,1.49,1.3
122,10.47,0.65,1.2
123,10.7,2.31,1.1
124,11.1,0.89,1.3
125,11.02,0.33,1.1
126,11.05,3.41,1.1
127,11.11,0.83,1.2
128,11.07,3.21,1.1
129,10.66,0.98,1.1
130,10.55,1.02,1
131,10.44,2.06,0.9
132,10.5,2.55,1
133,10.25,2,1
134,9.622,1.56,1
135,9.962,1.62,1.1
136,9.735,1.36,0.9
137,9.052,1.46,1.1
138,8.755,1.05,0.9
139,8.797,0.93,0.8
140,9.142,1.81,0.8
141,9.423,2.39,1
142,9.433,1.81,0.9
143,8.815,2.01,0.7
144,8.618,2.69,0.8
145,8.617,3.55,0.8
146,8.247,2.81,0.8
147,8.184,3.69,0.8
148,8.123,2.23,0.9
149,7.747,1.24,0.8
150,7.752,2.76,0.7
151,7.96,2.08,0.8
152,8.365,4.15,0.9
153,8.447,3.21,0.7
154,8.038,1.67,0.7
155,7.25,1.87,0.6
156,6.582,2.28,0.5
157,6.587,2.91,0.7
158,6.762,1.58,0.6
159,6.941,2.34,0.6
160,6.823,1.03,0.7
161,7.43,1.55,0.6
162,7.53,1.28,0.6
163,6.947,3.12,0.6
164,7.092,3.97,0.8
165,7.213,1.73,0.6
166,7.25,1.66,0.6
167,7.452,3.11,0.6
168,7.033,2.33,0.4
169,6.272,4.76,0.6
170,5.91,2.63,0.6
171,5.845,1.85,0.5
172,5.99,1.72,0.5
173,6.085,2.28,0.5
174,6.01,2.05,0.6
175,6.143,1.43,0.6
176,6.242,0.7,0.6
177,6.492,0.95,0.6
178,6.468,1.19,0.7
179,5.93,2.28,0.5
