DOY,MeanT,Rain,MeanPET
1,18.77,0.97,4.9
2,19.13,0.55,5.5
3,19.66,1.83,4.9
4,19.55,2.13,5
5,19.24,3.09,5.2
6,19.22,1.6,5.2
7,19.31,4.96,4.6
8,19.32,5.12,4.9
9,19.34,2.39,4.7
10,19.3,3.23,4.9
11,19.48,0.56,5.3
12,19.78,2.29,5.1
13,19.7,0.15,5.1
14,19.83,1.28,5.3
15,19.76,0.35,5
16,19.36,0.1,5.3
17,19.52,2.22,4.8
18,19.63,1.71,5
19,19.56,1.52,4.9
20,19.56,2.19,5
21,19.43,2.9,5
22,19.56,4.09,4.9
23,19.74,2.31,4.9
24,19.81,1.22,4.6
25,20.02,0.38,5.1
26,20.26,2.07,4.6
27,20.27,1.92,4.6
28,20.32,6.19,4.7
29,20.59,1.89,5.2
30,20.65,0.7,5
31,20.97,3.59,4.6
32,21.17,3.55,4.1
33,20.99,0.27,4.6
34,21.04,0.34,4.9
35,20.88,3.58,4.6
36,20.5,2.14,4.5
37,20.13,6.29,4.5
38,20.01,1.97,4.5
39,20.06,1.62,4.5
40,20.05,1.4,4.1
41,19.93,2.56,4.3
42,20.09,3.04,4.2
43,20.4,4.87,4.4
44,20.24,5.05,4.4
45,19.95,4.05,4
46,19.73,3.25,4.4
47,19.57,3.05,4.3
48,19.82,0.88,4.3
49,20.17,0.7,4.3
50,20.06,1.58,4.3
51,19.93,1.67,4.3
52,20.23,0.45,4.4
53,20.39,3.51,4
54,19.93,2.48,3.8
55,19.34,0.49,4.5
56,18.99,0.51,4.2
57,18.95,0.49,4.3
58,19.3,4.94,3.6
59,19.64,2.6,3.9
60,19.64,2.6,3.9
61,19.82,0.88,4.1
62,19.57,1.18,3.9
63,19.35,1.33,3.9
64,19.16,1.18,3.9
65,18.85,2.35,3.7
66,18.92,2.6,3.8
67,18.84,3.63,3.5
68,18.63,1.5,3.5
69,18.43,1.69,3.3
70,18.48,4.32,3.5
71,18.83,1.6,3.4
72,18.65,3.41,3.5
73,18.35,0.63,3.5
74,18.11,1.35,3.6
75,18.19,1.67,3.4
76,18.67,0.89,3
77,19.06,0.72,3.3
78,19,4.08,3.4
79,18.4,3.65,3.2
80,18.15,4.3,3.1
81,18.34,1.18,3
82,18.61,0.59,3.4
83,18.72,1.21,2.9
84,18.45,2.9,3.1
85,18.27,2.3,3
86,18.37,3.18,3.1
87,18.52,1.32,2.9
88,18.4,2.01,3.1
89,18.06,2.61,3
90,17.92,1.21,3
91,17.98,0.67,2.9
92,18.04,2.7,2.4
93,18,0.31,2.8
94,17.81,3.58,2.7
95,17.65,3.69,2.7
96,17.28,2.16,2.5
97,17,1.55,2.7
98,16.81,1.95,2.7
99,16.82,1.27,2.6
100,16.95,1.05,2.6
101,16.77,4.27,2.5
102,16.77,1.51,2.4
103,17.04,1.78,2.6
104,17.15,2.41,2.6
105,16.84,1.36,2.4
106,16.72,3.23,2.4
107,17.01,3.66,2.3
108,17.32,3.3,2.1
109,16.83,1.73,2.1
110,16.38,1.38,2.1
111,16.49,1.04,2
112,16.32,3.25,1.9
113,16.15,1.44,2
114,16.25,1.25,2.2
115,16.33,4.45,2
116,16.13,1.59,2.1
117,16.18,0.91,2
118,16.59,4.73,2.1
119,16.48,3.18,1.7
120,16.2,3.75,2
121,16.03,3.36,1.8
122,15.67,4.45,2
123,15.41,2.5,1.8
124,15.13,2.95,1.6
125,15.06,3.44,1.8
126,15.49,4.86,1.7
127,15.57,2.93,1.7
128,15.51,2.67,1.8
129,15.48,6.17,1.4
130,15.36,3.74,1.5
131,15.37,3.32,1.6
132,15.33,4.38,1.5
133,15.09,3.89,1.4
134,14.89,2.27,1.8
135,14.97,4.71,1.7
136,14.87,3.87,1.4
137,15,4.6,1.7
138,15.14,2.21,1.6
139,14.97,3.12,1.6
140,14.79,1.36,1.6
141,14.48,4.03,1.5
142,14.14,3.9,1.6
143,13.73,4.77,1.4
144,13.49,3.93,1.5
145,13.92,2.98,1.3
146,14.12,6.06,1.4
147,13.99,3.57,1.2
148,13.43,4.56,1.1
149,13.08,3.78,1.2
150,13.01,4.4,1.4
151,12.79,4.03,1.3
152,12.54,3.46,1.2
153,12.56,2.63,1.3
154,12.84,4.77,1.1
155,12.83,2.83,1.2
156,12.87,3.35,1.1
157,13.07,3.36,1.1
158,13.12,4.66,1.1
159,13.04,3.39,1.3
160,12.84,3.48,1.2
161,12.84,3.93,1
162,13.19,5.88,1
163,13.33,2.22,1.1
164,13.12,4.4,1.1
165,12.68,2.37,1.4
166,12.55,1.76,1.2
167,12.71,1.95,1.2
168,12.49,5.46,1.1
169,12.3,3.85,1.1
170,12.49,5.41,1.1
171,12.73,2.77,1.1
