DOY,MeanT,Rain,MeanPET
1,15.49,3.52,3.8
2,15.62,4.23,3.4
3,15.19,3.51,4
4,15,2.11,3.8
5,15.12,1.97,3.7
6,15.47,2.4,3.8
7,15.21,3.19,3.9
8,15.16,2.89,4.3
9,15.33,2.71,3.9
10,14.92,2.43,3.7
11,14.89,2.6,3.6
12,14.93,2.08,4.1
13,15,1.91,4.2
14,15.4,1.03,4.1
15,15.49,0.97,4.4
16,16.17,1.5,4.7
17,16.04,3.32,4
18,15.33,1.94,3.8
19,14.89,1.8,3.7
20,14.92,0.82,4.1
21,15.84,1.44,4
22,16.13,4.11,4.1
23,15.59,2.45,4
24,15.17,0.95,3.9
25,15.21,0.91,3.6
26,15.34,2.15,3.8
27,15.27,0.81,4
28,15.4,0.73,4.1
29,15.82,1.11,4.2
30,16.27,2.55,3.8
31,16.83,1.7,4.4
32,16.4,2.75,4
33,15.83,1.73,3.8
34,16,2.17,3.5
35,15.75,3.27,3.4
36,15.17,0.98,3.9
37,15.12,3.21,3.8
38,15.23,2.84,3.7
39,15.69,1.94,3.7
40,15.97,2.13,3.3
41,15.75,1.59,3.7
42,15.84,3.04,3.4
43,15.34,2.71,3.1
44,14.91,2.27,3.3
45,14.61,0.71,3.1
46,14.46,1.33,3.3
47,14.91,0.37,3.3
48,15.65,1.88,3.6
49,16.25,1.84,3.4
50,15.82,1.45,3.1
51,15.27,3.41,3.3
52,15.06,3.08,3.1
53,14.59,3.57,2.7
54,13.94,3.42,2.9
55,14.36,0.75,3.5
56,14.71,1.35,3.2
57,14.69,0.51,3.4
58,14.68,1.06,3
59,14.56,1.73,3.1
60,14.56,1.73,3.1
61,14.45,1.53,2.7
62,14.25,1.71,2.9
63,13.64,0.73,3
64,13.64,0.95,3.1
65,14.34,0.4,2.9
66,14.36,1.3,2.6
67,13.84,1.19,2.6
68,13.78,1.51,2.7
69,13.94,1.13,2.5
70,13.84,3.31,2.5
71,13.45,1.29,2.2
72,13.22,4.13,2.6
73,13.59,1.45,2.5
74,13.73,1.5,2.5
75,13.32,1.17,2.3
76,12.6,1.07,2.3
77,12.24,2.7,2.1
78,12.53,4.3,2.3
79,13.41,1.35,2.5
80,14.24,1.33,2.6
81,14.12,2.67,2.2
82,13.19,0.24,2.2
83,12.81,1.25,2.2
84,13.05,0.92,2.2
85,13.05,1.95,1.9
86,13.55,0.96,2.1
87,13.91,1.44,2.1
88,13.3,1.35,2
89,13.09,1.1,2.1
90,13.24,0.15,2.1
91,13.15,1.39,2
92,12.54,1.11,2
93,12,0.51,2
94,12.15,2.11,2
95,12.29,1.25,2
96,12.01,1.99,1.9
97,11.57,1.98,1.7
98,10.67,1.99,1.4
99,10.3,1.51,1.5
100,10.63,0.38,1.7
101,10.88,1.73,1.5
102,11.46,2.39,1.6
