DOY,MeanT,Rain,MeanPET
1,18.85,0.32,5.3
2,19.74,1.1,5.7
3,20.27,1.58,5.8
4,19.37,1.58,5.5
5,18.85,0.8,5.4
6,19.34,2.14,5.6
7,19.72,3.47,5.5
8,19.8,3.3,5.5
9,19.66,2.59,5.1
10,19.42,6.3,5.1
11,19.3,5.46,4.8
12,19.39,1.72,5
13,19.33,0.89,5.1
14,19.04,0.69,4.9
15,19.49,1.48,5.2
16,19.34,2.43,5.2
17,19.1,0.37,5.4
18,19.76,1.89,5.1
19,20.14,3.24,5.3
20,19.8,2.18,5.3
21,19.44,3.35,5.1
22,19.94,3.52,5.5
23,20.23,0.61,5.4
24,20.18,1.62,5.1
25,19.93,1.61,5
26,19.45,3.55,4.3
27,19.26,5.51,4.5
28,18.96,3.55,4.6
29,18.84,0.49,4.4
30,19.59,2.64,4.8
31,20.52,3.06,5.1
32,20.7,1.7,5.1
33,20.16,1.89,4.5
34,19.58,0.61,4.7
35,19.83,2.09,4.8
36,19.87,1.34,4.8
37,19.5,3.5,4.3
38,19.08,3.27,4.1
39,18.87,4.24,4
40,19.52,2.39,4.4
41,20.02,1.93,4.1
42,20.03,1.76,4.2
43,20.08,4.7,4.3
44,20.06,1.47,4.7
45,19.8,0.64,4.5
46,19.13,1.46,3.9
47,18.72,4.18,3.9
48,19.09,2.92,4
49,19.49,1.75,4.2
50,19.62,2.57,4.1
51,19.63,2.11,4.3
52,19.81,0.84,4.4
53,19.74,1.97,4
54,19.41,4.23,3.7
55,18.48,5.42,3.8
56,18.19,0.75,4.1
57,18.56,1.34,3.7
58,18.65,6.13,3.8
59,18.73,1.62,3.6
60,18.73,1.62,3.6
61,18.73,2.27,3.7
62,18.85,1.51,3.3
63,18.57,3.34,3.4
64,17.79,3.34,3.4
65,17.6,1.68,3.5
66,18.28,2.35,3.6
67,18.42,3.12,3.4
68,18.07,3.92,3.3
69,18.04,1.41,3.3
70,18.04,1.93,3.5
71,17.66,7.6,2.8
72,17.17,5.35,2.9
73,17.08,0.74,3.1
74,17.2,1.4,3.3
75,17.6,3.21,3
76,17.81,3.19,3.3
77,17.65,2.84,3
78,17.43,1.07,3.1
79,17.27,5.47,3.2
80,17.37,2.02,3.1
81,17.78,5.33,2.9
82,17.99,4.96,3
83,17.35,7.19,2.8
84,16.89,4.38,2.8
85,17.05,3.23,2.7
86,17.1,1.92,2.6
87,17.3,1.7,2.7
88,17.42,3.79,2.7
89,17.69,3.64,2.7
90,17.54,5,2.7
91,17.06,1.97,2.7
92,16.99,1.09,2.4
93,16.91,3.54,2.4
94,16.65,6.05,2.5
95,16.59,7.11,2.5
96,16.53,1.74,2.4
97,16.19,4.61,2.3
98,15.95,5.1,2.1
99,15.88,6.99,2.1
100,15.81,5.44,1.9
101,15.72,5.57,2.1
102,15.54,3.57,2
103,15.88,4.52,2.1
104,15.85,5.52,2.1
105,15.01,1.38,2
106,14.69,2.03,1.9
107,15.23,1.36,2
108,15.65,3.12,1.9
109,15.21,1.81,1.8
110,14.61,1.04,1.7
111,14.78,4.15,1.8
112,15.03,2.77,1.7
113,14.68,1.89,1.6
114,14.54,1.56,1.7
115,14.36,1.86,1.6
116,14.13,2.61,1.6
