DOY,MeanT,Rain,MeanPET
1,18.28,1.67,4.8
2,18.36,3.52,4.2
3,18.75,2.43,3.9
4,18.5,5.52,4.8
5,17.93,2.71,4.5
6,18.04,0.73,4.8
7,18.42,4.91,4.5
8,18.62,4.13,4.6
9,19.16,1.94,4.8
10,19.12,3.74,4.3
11,18.79,1.78,4.8
12,19.08,1.07,4.5
13,19.21,2.14,4.6
14,19.07,0.52,4.7
15,19.04,0.42,4.8
16,19.04,0.12,5.2
17,18.94,2.9,4.7
18,19.06,4.76,4.4
19,19.05,1.83,4.7
20,18.78,1.27,4.6
21,19.06,4.14,4.6
22,19.24,4.03,4.4
23,19.14,4.21,4.7
24,19.37,2.42,4.3
25,19.9,2.1,4.6
26,20.15,3.43,4.9
27,19.83,4.67,4.9
28,20.06,5.43,5.1
29,20.21,2.06,5
30,20.15,0.18,4.6
31,20.34,4.9,4.2
32,20.32,4.62,4.1
33,20.63,0.64,4.6
34,20.47,0.66,4.3
35,20.37,1.07,4.2
36,20.15,0.68,4.8
37,19.36,4.8,4.4
38,19.3,2.56,4.2
39,19.44,1.11,4.3
40,19.33,1.36,4
41,19.6,1.47,3.7
42,19.9,3.32,4.1
43,19.8,4.72,3.6
44,19.5,5.14,3.8
45,19.15,1.54,4
46,19.05,1.49,4
47,18.88,2.92,3.5
48,19.04,2.82,3.6
49,19.46,1.84,3.7
50,19.77,1.31,3.8
51,19.89,3.39,3.8
52,20.09,1.23,3.7
53,20.05,1.9,3.5
54,19.33,1.24,3.6
55,18.72,1.62,4
56,18.42,0.41,4.1
57,18.57,0.36,3.8
58,18.78,1.83,3.6
59,18.75,2.19,3.7
60,18.75,2.19,3.7
61,18.61,0.49,3.5
62,18.54,2.36,3.5
63,18.52,1.34,3.7
64,18.27,5.12,3.4
65,18.15,1.99,3.5
66,18.17,0.89,3.4
67,18.1,4.29,3.2
68,17.89,2.07,3.3
69,17.44,0.76,3.4
70,17.75,4.91,3.3
71,18.08,1.92,3
72,17.69,4.09,3
73,17.34,0.93,3.2
74,17.53,0.6,3.2
75,17.71,1.64,3.1
76,18.02,0.82,2.9
77,18.03,1.73,3
78,17.75,2.34,2.9
79,17.53,2.19,2.9
80,17.43,0.52,2.8
81,17.58,6.91,2.6
82,18.04,2.21,2.8
83,17.94,2.2,2.8
84,17.38,2.77,2.5
85,17.36,0.63,2.6
86,17.37,3.68,2.6
87,17.54,1.24,2.3
88,17.72,3.51,2.4
89,17.58,4.36,2.6
90,17.36,2,2.5
91,17.3,2.1,2.4
92,17.03,1.89,2.2
93,16.79,1.9,2.3
94,16.85,2.87,2.3
95,16.63,5.17,2.2
96,16.3,1.37,2.3
97,15.92,0.86,2.3
98,15.47,1.44,2.2
99,15.03,2.02,2.1
100,14.87,2.69,1.9
101,15.13,2.51,1.8
102,15.36,4.76,1.9
103,15.64,5.92,1.9
104,15.57,4.03,1.7
105,14.84,1.84,2
106,14.62,4.2,1.7
107,15.04,3.06,1.8
108,15.56,4.76,1.8
109,15.06,4.98,1.8
110,14.51,1.28,1.7
111,14.4,3.2,1.6
112,14.37,4.81,1.6
113,14.39,0.62,1.5
114,14.32,0.54,1.5
115,14.38,2.89,1.6
116,14.21,4.44,1.5
117,14.44,1.4,1.5
118,14.99,4.52,1.4
119,15.04,5.89,1.4
120,14.58,4.08,1.3
121,14.12,2.83,1.5
122,13.4,0.94,1.4
123,13.01,1.44,1.3
124,13.09,3.87,1.2
125,13.29,4.71,1.2
126,13.32,3.38,1.1
127,13.11,0.69,1.2
128,13.34,1.88,1.2
129,13.69,3.86,1
130,13.72,8.79,1
131,13.63,3.58,1.1
132,13.31,4.83,1
133,12.71,5.73,1
134,12.43,1.26,1.2
135,12.48,3.3,1
136,12.63,2.9,1
137,12.54,1.98,1.1
138,12.1,4.03,0.9
139,12.06,3.29,0.9
140,11.93,3.37,0.9
141,11.74,3.4,0.9
142,11.3,2.22,0.9
143,11.11,3.42,1
144,11.23,5.32,0.8
145,11.56,3.8,0.9
146,12.06,6.44,0.9
147,11.79,5,0.9
148,11.17,2.74,0.8
149,10.45,0.76,0.8
150,10.1,2.84,0.8
151,10.2,3.15,0.6
152,10.38,3.66,0.8
153,10.46,3.73,0.8
154,10.3,2.07,0.7
155,10.2,4.25,0.7
156,10.25,4.12,0.6
157,10.07,3.32,0.7
158,10.52,3.99,0.6
159,10.63,2.08,0.8
160,10.01,1.93,0.9
161,10.3,4.31,0.6
162,10.83,8.49,0.6
163,11.3,7.74,0.6
164,11.53,5.06,0.7
165,10.91,3.42,0.8
166,10.48,1.88,0.8
167,10.12,0.69,0.7
168,9.785,5.59,0.7
169,9.644,2.32,0.6
170,9.582,8.29,0.6
171,9.924,5.64,0.6
172,10.15,5.08,0.8
173,10.12,3.12,0.7
174,9.768,4.07,0.6
175,9.153,3.64,0.7
176,8.95,4.12,0.7
177,9.1,6,0.6
178,9.065,4.79,0.6
179,9.203,3.99,0.7
180,9.253,5.75,0.7
181,8.618,4.83,0.6
182,8.253,2.04,0.7
183,8.166,4.52,0.6
184,8.238,1.69,0.7
185,8.488,4.15,0.6
186,8.925,4.79,0.6
187,9.331,4.28,0.6
188,9.21,7.39,0.6
189,9.203,5.59,0.7
190,9.197,4.94,0.7
191,8.882,1.93,1
192,8.576,1.36,0.8
193,8.85,5.24,0.8
194,8.988,7.93,0.7
195,8.829,1.67,0.7
196,8.935,3.78,0.7
197,9.279,7.81,0.6
198,9.432,2.56,0.8
199,9.359,4.67,0.7
200,9.632,3.58,0.8
201,10.05,4.33,0.9
202,10.3,3.64,0.9
203,9.959,6.51,0.9
