DOY,MeanT,Rain,MeanPET
1,15.52,8.45,3.9
2,15.9,14.12,2.6
3,15.62,9.58,2.7
4,15.25,6.03,4.3
5,15.52,5.25,4.3
6,15.72,4.84,3.4
7,15.69,9.43,3.3
8,15.71,7.07,4.4
9,15.84,9.72,3.7
10,16.05,6.76,3.3
11,16.3,13.94,3.7
12,16.18,7.42,3.5
13,16.01,9.17,3.5
14,16.2,6.17,3.6
15,16.26,3.83,3.7
16,16.15,3.95,3.1
17,16.13,9.3,3.7
18,15.97,14.22,3.4
19,15.59,7.44,3.6
20,15.41,3.97,3.9
21,15.7,7.04,3.4
22,16.01,12.85,3.8
23,15.94,10.34,4
24,16.09,3.37,3.9
25,16.42,1.94,4.2
26,16.5,6.77,3.4
27,16.41,5.62,4.3
28,16.4,2.61,3.4
29,16.59,4.64,3.7
30,16.72,7.52,3.6
31,16.81,7.82,3.8
32,16.8,9.15,3.2
33,16.77,5.5,3
34,16.96,6.12,3.7
35,16.74,9.17,3.1
36,16.36,7.12,3.6
37,16.52,4.77,3.8
38,16.51,4.79,3.8
39,16.52,2.36,3.8
40,16.45,11.3,3.6
41,16.42,8.98,3.2
42,16.8,6.95,3.4
43,16.85,4.62,3.2
44,16.46,6.01,3
45,16.09,4.21,3.3
46,16.19,4.14,3.6
47,16.36,13.82,3.9
48,16.48,8.48,3.2
49,16.66,7.47,2.8
50,16.62,9.28,3.2
51,16.57,9.37,3
52,16.45,15.53,2.6
53,16.01,10.11,2.7
54,15.68,4.03,2.9
55,15.72,4,3
56,15.58,2.01,3.2
57,15.48,6.68,2.9
58,15.76,3.03,3.1
59,15.92,6.92,2.7
60,15.92,6.92,2.7
61,15.48,10.48,2.6
62,15.2,8.09,2.5
63,14.87,7.05,2.5
64,14.87,2.39,3
65,15.26,11.6,2.6
66,15.63,11.3,2.3
67,15.67,7.29,2.6
68,15.39,4.55,3.1
69,15.23,5.56,3.1
70,15.27,10.4,2.6
71,15.32,3.13,2.4
72,15.28,5.12,2.4
73,14.95,4.3,2.1
74,14.6,5.26,2.5
75,14.71,8.29,2.3
76,14.66,13.07,2.4
77,14.62,8.46,2.3
78,14.96,5.41,2.1
79,14.99,5.07,2.4
80,15.01,6.54,2.4
81,14.98,7.09,2
82,14.8,2.42,2.1
83,14.6,5.93,2.3
84,14.41,5.88,1.7
85,14.53,7.89,1.7
86,14.89,13.95,1.8
87,15.14,6.72,1.6
88,15,8.21,2
89,14.57,5.47,1.7
90,14.31,3.68,1.8
91,14.34,9.2,1.8
92,14.14,6.59,1.8
93,13.6,9.08,1.6
94,13.43,8.46,1.6
95,13.36,6.03,1.8
96,13.32,5.42,1.8
97,13.31,11.37,1.6
98,13.21,8.16,1.7
99,12.99,6.63,1.5
100,13,6.43,1.8
101,13.13,8.57,1.6
102,12.94,10.98,1.5
103,12.94,7.99,1.5
104,12.74,7.87,1.3
105,12.82,10.55,1.6
106,13.11,7.49,1.4
107,13.03,8.59,1.1
108,12.82,5.4,1.4
109,12.74,8.78,1.7
110,12.66,13.39,1.3
111,12.75,9.58,1.4
112,12.59,7.27,1.1
113,12.59,6,1
114,12.57,6.38,1
115,12.22,10.18,1
116,12.18,7.71,1.2
117,12.32,8.97,1.2
118,12.65,13.37,1
119,12.64,12.21,0.9
120,12.18,8.96,0.8
121,11.79,4.35,0.9
122,11.93,8.85,1.3
123,12.12,8.96,1.1
124,11.96,7.54,0.9
125,12.05,7.86,0.7
126,12.08,8.92,1.1
127,12.12,8.83,1
128,12.2,16.59,0.8
129,11.95,7.16,0.8
130,11.64,8.96,0.8
131,11.56,5.84,0.9
132,11.53,12.88,0.9
133,11.33,7.98,1
134,11.2,7.04,0.7
135,11,9.04,0.8
136,10.58,8.73,0.9
137,10.23,6.31,0.8
138,10.05,7.86,0.7
139,10.24,6.71,0.6
140,10.59,7.17,0.6
141,10.86,11.84,0.7
142,10.71,10.24,0.7
143,10.19,9.34,0.7
144,10.11,5.29,0.6
145,10.1,6.18,0.8
146,9.882,7.21,0.7
147,9.892,9.51,0.7
148,9.693,11.82,0.6
149,9.282,8.92,0.7
150,9.14,8.65,0.5
151,9.195,7.26,0.6
152,9.217,9.69,0.7
153,9.182,8.49,0.6
154,8.958,3.78,0.7
155,8.845,9.85,0.5
156,8.697,3.8,0.6
157,8.523,11.61,0.6
158,8.505,8.29,0.5
159,8.51,5.89,0.6
160,8.867,11.01,0.6
161,9.392,13.22,0.6
162,9.322,9.99,0.4
163,9.027,12.51,0.6
164,8.947,9.32,0.5
165,8.88,7.19,0.6
166,9.062,7.22,0.5
167,9.12,13.16,0.5
168,8.79,7.7,0.4
169,8.488,9.2,0.5
170,8.498,13.93,0.6
171,8.53,8.42,0.4
172,8.443,7.49,0.5
173,8.355,6.75,0.6
174,8.392,9.7,0.4
175,8.398,6.55,0.5
176,8.185,9.85,0.6
177,8.255,12.6,0.6
178,8.27,9.12,0.7
179,7.908,8.75,0.5
180,7.647,5.85,0.5
181,7.653,9.91,0.6
182,7.718,10.88,0.6
183,7.67,6.97,0.5
184,7.642,10.1,0.6
185,7.463,5.77,0.5
186,7.167,5.04,0.4
187,7.103,6.25,0.5
188,7.168,8.14,0.6
189,7.068,7.43,0.6
190,6.957,6,0.8
191,7.032,7.85,0.8
192,7.298,5.58,0.7
193,7.457,5.85,0.6
194,7.288,10.72,0.7
195,7.465,9.89,0.6
196,7.457,8.93,0.7
197,7.368,5.12,0.7
198,7.778,8.6,0.7
199,7.907,4.88,0.6
200,7.963,6.72,0.6
201,8.302,8.16,0.5
202,8.563,5.7,0.5
203,8.453,12.41,0.6
204,8.043,6.3,0.8
205,7.683,6.15,0.7
206,7.49,3.24,0.7
207,7.663,6,0.8
208,8.048,9.83,0.7
209,8.231,8.07,0.6
210,8.171,12.08,0.7
211,8.212,6.8,0.6
212,8.462,7.03,1
213,8.563,9.8,0.7
214,8.705,5.39,0.7
215,8.795,11.2,0.8
216,8.72,6.63,1
217,8.38,5.52,0.8
218,8.273,5.85,1
219,8.488,9.68,0.8
220,8.392,6.31,0.6
221,7.833,8.01,0.8
222,7.602,3.79,1
223,7.725,10.16,1.1
224,8.003,11.28,0.8
225,8.525,13.58,0.9
226,8.543,10.26,0.7
227,8.17,8.53,1
228,7.995,6.89,0.9
229,8.4,10.55,1.1
230,8.7,12.25,1.1
