DOY,MeanT,Rain,MeanPET
1,18.62,0.97,5.2
2,18.89,0.52,5.3
3,19.3,2.55,5
4,19.36,4.19,4.7
5,19.04,2.83,4.8
6,18.98,1.78,5
7,19.22,4.43,5.1
8,19.29,6.26,4.6
9,19.15,4.19,4.3
10,19.32,2.94,4.5
11,19.36,2.71,4.8
12,19.48,2.26,5.2
13,19.66,1.74,5
14,19.46,1.28,4.5
15,19.51,0.79,4.7
16,19.3,1.06,5.3
17,19.34,3.25,5
18,19.44,2.76,5
19,19.37,1.41,4.8
20,19.38,1.6,4.8
21,19.45,2.81,4.7
22,19.73,4.64,4.7
23,19.84,3.08,4.9
24,19.63,1.95,4.6
25,19.93,1.28,4.7
26,20.25,1.31,5.1
27,20.38,1.11,4.8
28,20.38,4.35,4.7
29,20.53,5.86,5.1
30,20.61,4.88,5.2
31,20.65,3.85,4.7
32,20.72,4.85,4.6
33,20.64,2.3,4.8
34,20.7,1.09,4.8
35,20.2,2.59,4.8
36,20.18,3.01,4.6
37,19.95,5.56,4.6
38,19.68,3.99,4.4
39,19.91,1.9,4.6
40,20.07,2.1,4.2
41,20.14,3.19,4
42,20.3,2.72,4.2
43,20.38,3.44,4.3
44,20.36,3.6,4.4
45,20.31,5.48,4.4
46,20.16,5.11,4.4
47,20.01,4.03,4.4
48,20.24,2.3,4.4
49,20.32,1.85,4.3
50,20.48,1.88,4.3
51,20.32,1.62,4.4
52,20.49,1.32,4.2
53,20.46,3.41,3.8
54,20.17,2.5,3.7
55,19.78,0.7,4.2
56,19.38,1.38,4.4
57,19.33,1.01,4.2
58,19.71,4.85,3.9
59,19.95,6.39,3.9
60,19.95,6.39,3.9
61,19.82,3.43,3.8
62,19.71,4.4,3.7
63,19.64,2.14,4
64,19.47,1.41,4.3
65,19.32,2.72,4.1
66,19.27,2.95,3.9
67,19.4,4.43,3.8
68,19.34,2.53,3.9
69,19.31,3.38,3.7
70,19.04,4.71,3.6
71,19.23,3.25,3.6
72,19.15,2.05,3.6
73,18.94,0.96,3.6
74,18.64,1.38,3.6
75,18.64,1.68,3.6
76,18.75,1.16,3.4
77,19.03,1.55,3.2
78,19.16,3.21,3.5
79,18.84,4.21,3.7
80,18.39,2.86,3.4
81,18.62,1.51,3.2
82,18.7,1.79,3.2
83,18.89,3.54,3.2
84,18.76,3.03,3.2
85,18.46,4.38,3.1
86,18.56,3.81,3.1
87,18.9,5.66,3
88,18.57,5.49,3
89,18.54,2.02,3
90,18.59,1.24,3.1
91,18.61,1.73,2.9
92,18.34,4.17,2.7
93,18.3,3.34,2.8
94,18.22,2.76,2.8
95,18.03,2.68,2.7
