DOY,MeanT,Rain,MeanPET
1,18.68,3.3,4.4
2,19.08,1.75,4.7
3,19.32,4.46,4.4
4,19.03,4.32,4.3
5,18.85,3.29,4.4
6,19.05,1.77,4.6
7,19.37,3.95,4.3
8,19.47,7.64,4.1
9,19.37,3.46,4.1
10,19.33,6.11,4.1
11,19.34,3.23,4.2
12,19.41,4.36,4.3
13,19.5,4.28,4.3
14,19.53,2.41,4.4
15,19.47,1,4.4
16,19.34,0.65,4.6
17,19.37,3.02,4.4
18,19.38,1.81,4.5
19,19.46,1.36,4.3
20,19.57,4.4,4
21,19.59,2.49,3.9
22,19.84,7.18,4.3
23,19.79,3,4.3
24,19.82,2.14,4.2
25,20.01,0.78,4.3
26,20.06,2.16,4.4
27,20.13,2.67,4.2
28,20.23,9.25,4.4
29,20.41,3.57,4.3
30,20.4,3.95,4.1
31,20.42,4.96,3.7
32,20.42,4.91,3.9
33,20.52,2.04,4.1
34,20.55,3.02,3.7
35,20.47,3.81,3.8
36,20.23,6.38,3.7
37,19.96,7.44,3.3
38,19.95,2.94,3.6
39,20.02,4.36,3.7
40,19.97,3.93,3.2
41,20.23,5.2,3.2
42,20.54,3.27,3.2
43,20.55,6.88,3.7
44,20.51,2.39,3.6
45,20.39,6.61,3.5
46,20.13,4.4,3.6
47,20.05,1.27,3.7
48,20.1,2.14,3.6
49,20.17,2.6,3.3
50,20.23,3.82,3.6
51,20.2,2.12,3.5
52,20.35,3.23,3.4
53,20.35,8.83,3.1
54,20.07,3.05,3.3
55,19.5,1.63,3.5
56,19.11,2.83,3.5
57,19.12,1.6,3.2
58,19.32,8.15,3
59,19.25,6.22,3.2
60,19.25,6.22,3.2
61,19.5,4.36,2.9
62,19.47,6.11,2.6
63,19.44,4.03,3.4
64,19.32,3.96,3.1
65,19.08,4.67,2.7
66,19.09,3.36,2.8
67,19.12,5.58,2.7
68,19.02,1.94,2.9
69,18.96,6.63,2.6
70,19.04,7.97,2.9
71,18.95,3.41,3.2
72,18.67,5.06,3.1
73,18.54,2.4,3.1
74,18.4,1.73,3.1
75,18.35,2.03,2.9
76,18.41,1.57,2.7
77,18.5,1.72,2.8
78,18.42,7.87,2.8
79,18.22,1.59,2.8
80,18.23,5.21,2.4
81,18.35,1.63,2.6
82,18.36,2.11,2.6
83,18.24,2.6,2.4
84,18.22,1.45,2.5
85,18.13,6.55,2.2
86,18.27,4.86,2.3
87,18.51,5.23,2.3
88,18.54,8.65,2.3
89,18.43,6.64,2.5
90,18.26,1.84,2.5
91,18.2,2.72,2.3
92,18.11,6.07,2
93,17.82,4.59,2.4
94,17.6,4.47,2.2
95,17.57,4.71,2.1
96,17.34,4.69,2
97,17.37,5.4,2.2
98,17.36,1.39,2.3
99,17.14,4.18,2.2
100,17.04,2.44,2.2
101,16.99,4.83,2.1
102,16.82,1.42,1.9
103,16.87,12.19,1.8
104,17.12,3.73,2
105,16.95,4.62,1.7
106,16.82,4.97,1.7
107,16.99,6.4,1.6
108,17.04,4.77,1.9
109,16.91,4.09,1.8
110,16.81,5.61,1.5
111,16.81,4.72,1.5
112,16.72,5.67,1.6
113,16.61,1.83,1.9
114,16.4,2.59,1.5
115,16.08,6.59,1.7
116,15.92,6.05,1.5
117,16.05,4.01,1.4
118,16.37,5.27,1.4
