DOY,MeanT,Rain,MeanPET
1,17.91,2.55,3.65
2,18.45,2.32,3.04
3,18.49,6.63,3.54
4,17,1.93,4.69
5,16.42,2.98,4.10
6,17.63,0.43,4.08
7,17.00,2.78,3.59
8,17.43,2.38,4.26
9,17.02,0.30,4.15
10,17.60,0.88,3.48
11,17.65,0.33,4.10
12,18.18,0.97,3.79
13,17.88,3.03,3.99
14,17.28,2.88,4.39
15,17.52,2.58,4.21
16,17.97,0.27,4.03
17,18.27,1.82,4.31
18,17.95,4.15,3.90
19,18.45,2.52,4.09
20,18.13,3.33,4.46
21,17.68,2.40,3.90
22,17.35,2.63,3.30
23,17.50,5.52,3.47
24,17.71,1.38,4.02
25,17.85,0.47,4.15
26,18.93,1.80,4.10
27,18.53,4.22,3.29
28,18.28,0.97,3.76
29,18.95,0.23,4.48
30,19.07,1.45,4.15
31,18.72,0.02,3.90
32,18.72,5.13,3.34
33,18.56,5.17,3.37
34,18.84,0.48,4.54
35,18.44,4.80,3.51
36,17.98,2.02,3.79
37,17.38,0.15,3.67
38,17.04,3.02,3.88
39,17.48,2.70,3.80
40,17.56,0.52,3.92
41,17.71,2.73,3.63
42,17.65,5.32,3.78
43,18.25,1.80,3.53
44,18.67,0.45,3.29
45,18.67,1.13,3.89
46,18.17,1.73,3.79
47,17.88,0.73,3.88
48,18.21,2.88,3.51
49,18.53,2.85,3.53
50,18.93,3.87,3.63
51,19.20,1.18,3.75
52,18.95,1.33,3.74
53,18.91,6.18,3.06
54,17.75,0.70,3.74
55,16.95,1.60,3.57
56,17.50,0.87,3.56
57,16.95,0.93,3.61
58,16.83,0.42,3.68
59,17.51,0.38,3.70
60,17.12,2.32,3.54
61,17.04,2.18,3.07
62,17.20,0.62,3.22
63,16.72,2.93,2.85
64,17.05,3.50,3.09
65,16.56,1.92,2.45
66,16.35,5.40,3.21
67,16.40,1.77,3.35
68,16.17,0.55,3.36
69,16.63,2.07,3.29
70,16.27,3.45,2.56
71,16.40,1.58,2.85
72,15.33,1.38,2.75
73,15.83,0.48,2.99
74,16.97,0.32,2.91
75,17.77,2.25,2.37
76,16.10,1.40,2.78
77,15.38,3.68,2.72
78,15.86,0.85,2.82
79,16.22,0.08,2.75
80,16.48,1.12,2.63
81,16.68,1.63,2.34
82,16.80,2.28,2.70
83,16.24,3.78,2.14
84,16.88,2.90,2.43
85,17.03,3.73,2.39
86,17.30,1.93,2.65
87,15.98,1.22,2.24
88,16.40,2.33,2.35
89,16.63,2.23,2.53
90,16.11,2.08,2.47
91,15.86,1.33,2.32
92,15.30,0.37,2.13
93,16.27,4.37,2.19
94,16.01,5.58,2.19
95,14.81,3.93,2.26
96,14.28,1.27,2.30
97,13.26,1.18,1.95
98,13.87,4.73,1.65
99,14.40,4.32,1.87
100,14.54,4.43,1.97
101,14.28,1.33,1.64
102,15.17,3.78,1.89
103,14.68,4.52,1.70
104,13.50,4.50,1.70
105,13.78,0.90,2.06
106,13.92,7.60,1.71
107,13.64,3.45,1.47
108,13.68,2.42,1.64
109,12.95,1.60,1.70
110,14.29,1.15,1.69
111,14.28,2.08,1.52
112,13.60,0.77,1.66
113,13.91,0.30,1.67
114,14.82,2.53,1.58
115,14.42,7.38,1.46
116,13.94,0.70,1.50
117,14.80,4.58,1.57
118,14.11,5.55,1.27
119,13.84,4.68,1.51
120,13.65,5.40,1.60
121,11.88,0.25,1.68
122,11.85,0.13,1.45
123,13.09,2.13,1.43
124,13.14,3,1.16
125,13.59,4.85,1.30
126,13.27,2.37,1.30
127,12.68,5.42,1.31
128,12.80,2.17,1.27
129,14.10,1.23,1.36
130,13.74,1.57,1.20
131,13.10,3.72,1.08
132,13.57,5.87,0.93
133,12.89,5.17,1.34
134,13,4.87,1.19
135,13.47,8.78,1.17
136,12.87,4.87,1.24
137,12.24,3.72,1.31
138,11.60,2.62,1.33
139,11.90,2.35,1.30
140,11.76,0.32,1.27
141,11.61,2,1.06
142,10.17,2.93,1.11
143,10.74,2.80,0.95
144,10.98,5.62,0.96
145,10.77,3.17,0.99
146,11.18,6.15,1.03
147,10.57,2.77,1.06
148,10.28,2.73,0.96
149,10.80,3.23,1.09
150,9.66,1.88,1.02
151,9.72,4.70,1.10
152,10.00,2.50,1.17
153,10.00,2.78,1.03
154,9.90,1.78,0.97
155,10.95,2.45,0.96
156,10.69,4.13,0.84
157,10.56,5.30,0.93
158,10.46,2.45,1.00
159,9.59,1.73,1.08
160,9.49,1.55,0.95
161,10.90,4.84,0.77
162,10.90,7.15,0.77
163,11.84,0.88,0.89
164,10.49,5.32,0.75
165,10.13,1.20,1.09
166,9.03,2.05,0.76
167,10.13,2.68,0.85
168,10.23,2.53,0.92
169,10.32,5.50,0.75
170,10.67,11.88,0.72
171,10.62,9.02,0.83
172,10.03,1.91,0.91
173,8.97,1.96,0.90
174,9.02,3.02,0.83
175,10.36,3.75,0.89
176,9.51,3.11,0.98
177,9.13,1.25,1.00
178,8.77,2.98,0.89
179,8.84,0.91,0.95
180,8.71,1.78,0.93
181,8.53,2.58,0.83
182,8.82,2.13,0.81
183,8.23,0.83,1.01
184,8.83,3.57,0.89
185,8.60,0.73,0.87
186,9.40,0.10,0.97
187,9.12,2.18,0.85
188,9.66,4.57,0.81
189,8.53,3.78,1.09
190,8.16,4.18,0.89
191,8.24,2.27,1.06
192,8.03,4.65,1.03
193,8.37,1.62,1.00
194,8.09,5.07,0.87
195,7.92,4.17,0.80
196,8.86,2.07,0.98
197,8.86,6.07,0.79
198,9.59,4.60,0.94
199,8.85,1.10,1.02
200,8.99,1.35,1.16
201,9.50,2.75,0.95
202,9.83,3.63,1.08
203,10.03,4.68,1.08
204,9.43,5.27,0.88
205,9.40,2.05,0.95
206,8.93,1.15,1.25
207,8.76,0.45,1.32
208,9.33,2.02,1.12
209,8.99,1.27,1.29
210,9.04,2.80,1.20
211,8.18,1.55,1.37
212,8.75,2.45,0.90
213,10.34,5.27,0.94
214,10.60,4.42,1.08
215,10.10,2.08,1.39
216,10.18,5.98,1.03
217,9.77,2.98,1.34
218,9.88,4.48,1.03
219,9.99,2.20,1.10
220,9.46,3.62,1.11
221,8.43,3.40,1.32
222,7.84,1.38,1.29
223,8.79,4.70,1.27
224,9.20,4.97,1.22
225,9.50,3.12,1.20
226,9.78,6.70,1.14
227,9.44,3.28,1.24
228,9.70,1.60,1.30
229,9.62,6.60,1.37
230,8.83,3.30,1.39
231,9.48,2.13,1.56
232,9.26,3.65,1.44
233,9.77,2.37,1.70
234,9.52,4.47,1.68
235,9.58,1.48,1.44
236,9.89,0.57,1.74
237,9.72,2.47,1.46
238,10.72,3.07,1.49
239,10.75,1.03,1.65
240,11.08,1.90,1.64
241,10.58,3.02,1.51
242,11.12,1.57,1.78
243,10.67,1.73,1.81
244,10.12,0.80,1.80
245,9.66,3.08,1.45
246,9.75,1.08,1.76
247,10.06,2.45,1.80
248,9.78,3.20,1.50
249,10.33,5.93,1.47
250,10.77,1.20,1.82
251,10.58,0.88,1.88
252,9.61,4.37,1.85
253,10.09,3.45,1.68
254,10.64,6.47,1.71
255,10.45,2.02,1.92
256,11.22,1.48,1.86
257,11.10,2.42,1.65
258,11.37,1.30,1.80
259,11.29,2.60,1.89
260,12.21,4.60,2.04
261,11.35,3.93,2.01
262,10.50,8.73,1.94
263,10.39,3.85,2.09
264,9.85,1.80,2.14
265,10.16,3.93,2.31
266,10.96,1.87,2.21
267,11.65,5.52,1.68
268,12.11,1.57,2.17
269,11.69,1.08,2.24
270,12.05,1.05,2.45
271,12.33,5.15,2.13
272,12.65,2.15,2.31
273,12.52,5.62,2.45
274,11.65,2.35,2.47
275,12.02,2.28,2.12
276,12.94,4.27,2.63
277,11.95,1.13,2.23
278,11.90,2.07,2.21
279,11.83,1.43,2.52
280,12.13,1.50,2.49
281,11.87,4.18,2.09
282,11.53,2.22,2.32
283,11.32,2.98,2.57
284,12.47,3.53,2.45
285,12.57,1.88,2.67
286,12.13,2.67,1.93
287,12.76,3.63,2.22
288,12.68,4.22,2.38
289,12.30,1.47,2.78
290,12.99,2.75,2.65
291,12.74,3.07,2.23
292,12.15,1.10,2.99
293,12.67,1.13,2.71
294,12.49,0.52,2.29
295,12.93,3.72,2.32
296,12.23,2.83,2.72
297,12.27,0.85,2.95
298,12.86,1.03,2.68
299,13.77,3.52,2.91
300,13.90,4.75,2.45
301,13.43,5.63,2.58
302,13.96,3.78,2.91
303,13.05,0.40,3.19
304,12.62,3.47,3.18
305,12.48,2.68,3.10
306,13.31,1.68,3.50
307,14.35,5.13,2.62
308,13.88,1.87,2.74
309,13.32,1.13,3.41
310,13.15,0.47,3.30
311,13.42,2.35,3.43
312,13.87,2.87,3.10
313,14.16,3.22,3.30
314,13.67,2.05,2.66
315,13.90,3.95,2.88
316,13.06,3.07,2.89
317,12.55,1.20,3.27
318,12.59,1.25,3.25
319,13.46,2.07,3.39
320,14.75,5.22,3.39
321,14.95,5.33,2.86
322,14.45,6.08,3.27
323,13.94,0.98,3.60
324,14.12,2.37,3.26
325,14.20,1.42,3.22
326,14.29,1.23,3.23
327,14.87,0.22,3.89
328,14.88,1.83,3.34
329,15.81,2.02,3.27
330,15.95,5.88,3.27
331,16.28,1.48,3.19
332,16.07,7.43,3.01
333,15.03,0.67,4.17
334,16.12,5.23,3.77
335,15.89,6.75,3.25
336,16.15,1.08,3.86
337,16.06,2.27,3.36
338,16.59,3.03,3.83
339,16.44,1.08,3.38
340,16.45,2.62,2.88
341,15.88,3.10,3.42
342,15.26,6.11,2.91
343,15.91,1.78,3.71
344,16.72,6.62,3.19
345,17.53,2.03,3.07
346,17.00,2.47,3.60
347,16.88,1.73,4.14
348,16.19,1.53,3.81
349,15.75,4.92,4.22
350,16.77,1.60,4.06
351,16.77,4.32,3.89
352,17.19,1.25,3.54
353,16.73,6.43,2.72
354,15.96,4.33,3.73
355,16.08,0.90,3.69
356,16.15,0.78,3.66
357,16.82,1.17,4.29
358,16.88,4.15,3.61
359,17.40,5.02,4.09
360,17.92,0.57,4.12
361,17.54,1.28,4.37
362,17.01,1.58,3.87
363,17.10,4.28,3.65
364,17.05,3.68,3.31
365,16.69,4.68,3.71
366,15.48,0,5.23
