DOY,MeanT,Rain,MeanPET
1,19.25,1.34,5.3
2,19.5,1.33,5.3
3,19.94,1.33,5.1
4,19.74,2.33,5.3
5,19.3,1.47,5.7
6,19.42,0.89,5.5
7,19.62,2.24,4.9
8,19.83,2.2,5.2
9,19.96,3.75,5.2
10,19.85,1.71,5
11,19.87,2.21,5.3
12,20.19,1.19,5.2
13,20.22,1.65,5.3
14,20.03,2.22,5.3
15,20.11,0.57,5.3
16,20.19,1.74,5.6
17,20.21,1.68,5.2
18,20.23,2.45,5.3
19,20.21,2.42,5.5
20,20.13,1.24,5.4
21,20.04,2.82,5.2
22,20.23,2.78,5.4
23,20.51,1.11,5.2
24,20.56,2.63,5
25,20.64,1.16,5.4
26,20.86,1.81,5.4
27,20.79,11.83,5.1
28,20.81,3.5,5.4
29,20.97,1.02,5.2
30,21.12,0.76,5.4
31,21.33,2.57,5
32,21.3,3.43,5.3
33,21.34,1.25,5.3
34,21.32,1.64,5
35,21.18,1.9,5
36,20.95,1.49,5.1
37,20.64,2.24,5.2
38,20.73,0.9,5
39,20.65,0.78,4.7
40,20.57,0.74,4.9
41,20.92,2.74,4.4
42,21.11,3.18,4.3
43,21.11,2.55,4.4
44,20.95,3.27,4.7
45,20.71,1.82,4.7
46,20.48,2.39,5
47,20.34,3.37,4.3
48,20.54,1.69,4.7
49,20.81,2.83,4.4
50,20.97,2.03,4.3
51,20.84,2.97,4.4
52,20.91,3.26,4.4
53,20.93,4.47,4
54,20.45,2.34,4.1
55,20.04,2.16,4.7
56,19.76,1.55,4.8
57,19.85,1.09,4.5
58,20.23,2.96,4.3
59,20.36,3.82,4.1
60,20.36,3.82,4.1
61,20.34,3.42,4.2
62,20.29,3.63,4.2
63,20.05,1.31,4.5
64,19.73,2.41,4.2
65,19.49,1.8,4.1
66,19.54,0.98,3.9
67,19.67,4.03,3.8
68,19.61,1.41,3.9
69,19.43,0.5,3.9
70,19.55,6.55,4.1
71,19.47,2.49,3.8
72,19.04,4.7,3.7
73,18.85,1.42,3.6
74,18.74,3.72,3.8
75,18.85,2.1,3.9
76,18.96,0.89,3.4
77,19,3.01,3.5
78,19.01,2.31,3.5
79,18.77,1.51,3.5
80,18.75,1.21,3.4
81,19.04,5.95,3.1
82,19.2,1.41,3.5
83,18.98,1.67,3.2
84,18.69,1.34,3.1
85,18.69,0.49,3.2
86,18.89,3.49,3.5
87,19.11,1.86,3.1
88,19.02,3.62,2.9
89,18.75,4.4,3
