DOY,MeanT,Rain,MeanPET
1,17.56,0.52,5.1
2,18.47,1.03,5.1
3,18.68,2.15,5.5
4,17.72,1.5,5.2
5,17.46,3.72,5.7
6,17.95,0.53,5.4
7,17.56,1.65,4.7
8,17.49,2.44,4.7
9,18.12,1.12,5.2
10,18.05,0.84,4.8
11,18.01,0.95,5.3
12,18,2.82,4.7
13,17.03,0.92,4.7
14,17.18,0.42,5.2
15,18.38,1.28,5.5
16,18.5,0.31,5.6
17,18.73,1.5,5.6
18,18.62,1.16,5.2
19,18.2,0.88,5.5
20,17.6,2.39,5.2
21,17.51,1.24,4.6
22,18.18,3.5,5.3
23,18.45,3.26,5.3
24,18.25,1.37,5
25,18.6,0.2,5.2
26,19.18,1.35,5.4
27,18.69,1.55,4.3
28,18.27,1.19,4.5
29,18.99,0.29,4.9
30,19.8,0.07,5.2
31,20.18,0.08,5.2
32,19.99,1.73,4.8
33,19.21,2.02,4.7
34,19.1,1.07,5.2
35,19.38,3.42,5
36,18.53,2.17,4.5
37,17.62,1,4.9
38,17.62,0.75,4.5
39,17.63,0.98,4.3
40,17.95,0.88,4.5
41,18.41,2.39,3.9
42,18.46,2.56,4
43,18.51,6.66,4.2
44,18.35,2.36,4.5
45,17.75,2.36,3.9
46,16.78,5.25,3.9
47,16.64,1.48,3.5
48,16.9,2.96,3.7
49,17.34,0.94,4.2
50,17.87,4.06,4.5
51,18.49,2.57,4.1
52,19.03,1.46,4.5
53,18.85,3.35,4.2
54,17.46,0.9,3.6
55,16.54,1.13,4.1
56,16.64,1.3,4.1
57,16.67,0.58,3.6
58,17.01,1.42,3.9
59,17.25,2.75,3.9
60,17.25,2.75,3.9
61,16.87,0.85,3.8
62,17.09,2.24,3.9
63,16.94,2.32,3.8
64,16.25,2.91,3.6
65,16.59,2.07,3.7
66,16.97,0.74,3.4
67,17.29,0.71,3.8
68,16.8,0.87,3.5
69,16.55,0.39,3.4
70,16.61,1.37,3.8
71,16.38,2.54,3
72,15.63,1.39,2.9
73,15.06,0.82,2.9
74,15.32,0.83,3
75,16.41,0.67,3.3
76,16.88,1.19,2.9
77,16.25,0.89,2.7
78,15.61,4.04,3.1
79,15.5,0.47,3
80,15.99,0.62,2.8
81,16.46,3.99,2.5
82,16.19,1.69,2.3
83,15.56,1.51,2.3
84,15.38,0.94,2.3
85,15.65,0.81,2.7
86,16.12,1.06,2.9
87,16.6,2.32,2.6
88,16.17,3.27,2.3
89,15.55,2.72,2.2
90,15.62,4.77,2.2
91,15.74,1.87,2.6
92,15.3,1.44,2.2
93,14.58,2.9,2.2
94,14.75,1.42,2.2
95,14.71,2.79,2.4
96,14.17,2.23,1.8
97,14.25,2.07,1.9
98,13.69,3.81,2
99,12.63,2.76,1.7
100,12.66,2.81,1.7
101,13.21,3.16,1.9
102,13.8,3.77,2
103,14.1,1.46,1.8
104,13.33,2.1,1.7
105,12.27,0.58,1.8
106,12.7,0.72,1.7
107,13.6,2.29,1.7
108,13.75,2.63,1.6
109,12.79,0.76,1.5
110,12.48,1.61,1.7
111,13.15,1.03,1.7
112,12.98,2.18,1.5
113,12.48,0.8,1.4
114,13.02,0.48,1.7
115,13.34,1.2,1.7
116,12.72,1.23,1.5
117,13.01,0.54,1.6
118,13.58,2.06,1.4
119,13.04,2.43,1.4
120,12.75,3.7,1.5
121,12.72,1.98,1.6
122,12.23,0.98,1.3
123,12.52,3.26,1.5
124,12.7,1.39,1.2
125,12.7,1.51,1.3
126,12.56,2.44,1.2
127,12.42,0.97,1.4
128,12.44,0.48,1.3
129,12.46,1.58,1.3
130,12.67,2.05,1.3
131,12.93,1.17,1.1
132,12.54,2.07,1.3
133,11.6,3.13,1.1
134,11.27,0.63,1.2
135,11.88,2.22,1.2
136,12.1,3.18,1.1
137,11.32,2.03,1.2
138,10.67,1.17,1
139,10.8,1.57,0.9
140,10.95,2.28,0.9
141,10.94,3.42,1
142,10.67,0.7,0.9
143,10.24,3.62,0.8
144,10.36,3.95,0.7
145,10.47,6.07,0.9
146,10.33,1.7,0.9
147,10.11,1.88,0.8
148,9.69,1.74,0.7
149,9.186,2.8,0.8
150,8.907,1.39,0.8
151,8.876,1.1,0.7
152,8.814,1.25,0.6
153,9.412,1.94,0.8
154,9.738,0.86,0.7
155,9.452,0.97,0.7
156,9.125,2.72,0.6
157,8.914,2.2,0.7
158,8.832,3.23,0.7
159,8.968,2.6,0.8
160,8.693,0.39,0.8
161,8.98,3.75,0.7
162,9.455,2.79,0.6
163,9.902,1.79,0.7
164,10.2,3.1,0.7
165,9.705,1.95,0.8
166,9.7,0.99,0.9
167,9.882,1.74,0.8
168,9.541,3.89,0.7
169,9.23,2.87,0.6
170,8.916,6.17,0.5
171,8.968,2.6,0.6
172,9.077,6.06,0.7
173,9,4.51,0.7
174,8.827,1.54,0.7
175,8.473,2.78,0.8
176,8.12,0.85,0.6
177,8.182,1.68,0.7
178,8.755,1.38,0.6
179,8.684,1.38,0.7
180,8.011,2.43,0.6
181,7.764,3.87,0.5
182,7.877,2.2,0.6
183,7.807,3.13,0.6
184,7.9,0.69,0.8
185,8.259,0.92,0.8
186,8.268,4.01,0.8
187,8.198,6.42,0.6
188,8.286,2.55,0.7
189,8.082,3.47,0.7
190,7.62,2.56,0.6
191,7.091,2.32,0.7
192,7.025,0.89,0.7
193,7.44,3.12,0.7
194,7.738,4.84,0.7
195,7.659,3.82,0.8
196,7.725,5.15,0.7
197,8.211,2.64,0.5
198,8.748,3.12,0.8
199,8.68,3.16,0.7
200,8.339,2.02,0.8
201,8.632,2.58,0.7
202,8.948,5.65,0.9
203,8.886,4.65,0.7
204,8.586,4.71,0.9
205,8.423,3.09,0.8
206,8.393,1.03,0.9
207,7.993,1.7,0.8
208,8.061,0.69,1
209,8.693,1.24,0.8
210,8.966,1.33,0.9
211,8.825,1.86,1
212,8.695,1.95,0.8
213,8.777,3.11,1
214,9.125,1.15,1
215,9.384,2.3,1
216,9.357,2.03,1
217,9.025,2.72,0.9
218,8.766,2.38,1
219,9.343,1.88,1.1
220,9.891,2.6,1.2
221,9.186,6.49,0.9
222,8.134,2.94,1
223,7.948,0.88,1.2
224,8.732,2.15,1.1
225,9.314,3.87,1.1
226,9.393,2.05,1.3
227,9.114,6.64,1.3
228,8.468,3.39,1.2
229,9.082,3.71,1.3
230,9.661,4.95,1.3
231,9.305,3.45,1.3
232,9.145,2.79,1.3
233,9.202,1.22,1.3
234,9.459,0.97,1.4
235,9.505,0.68,1.5
236,9.534,1.9,1.5
237,9.58,1.49,1.5
238,9.807,2.29,1.6
239,10.04,2.73,1.6
240,9.484,2.27,1.4
241,9.295,1.11,1.4
242,9.591,1.06,1.5
243,9.718,1.99,1.5
244,9.882,1.82,1.7
245,10.55,0.69,1.9
246,10.6,1.33,1.9
247,10.04,1.78,1.6
248,10.21,1.75,1.7
249,10.67,2,1.7
250,10.35,1.56,2
251,9.793,0.61,2.1
252,9.848,1.52,1.9
253,10.05,2.46,1.9
254,10.32,3.55,2.2
255,10.12,1.89,1.9
256,10.31,1.47,1.9
257,11.02,2.42,2.3
258,11.23,0.28,2.4
259,11.16,0.89,2.2
260,11.58,1.21,2.5
261,11.46,5.92,2.4
262,10.52,2.56,2.1
263,10.18,0.97,2.1
264,10.6,1.78,2.4
265,10.7,2.79,2.3
266,10.82,1.21,2.5
267,11.38,1.39,2.4
268,11.83,1.98,2.4
269,11.56,1.66,2.4
270,11.72,1.72,2.8
271,11.75,5,2.8
272,11.15,2.49,2.4
273,11.28,3.02,2.5
274,11.67,1.37,2.3
275,11.66,1.89,2.7
276,12.06,1.59,2.7
277,12.22,4.38,2.8
278,11.76,1.83,2.9
279,11.43,2.71,2.8
280,11.42,2.34,3
281,11.43,2.84,2.7
282,11.63,2.09,2.7
283,11.52,2.38,2.8
284,11.5,3.04,2.7
285,12.12,3.75,2.6
286,12.3,3.09,2.7
287,12.17,3.06,3
288,11.83,2.15,3
289,11.6,3.1,2.6
290,12.34,1.36,3.2
291,13.28,2.8,3.5
292,12.66,1.33,3.4
293,11.93,1.27,3.3
294,12.35,1.32,3.4
295,12.73,0.95,3.4
296,12.06,2.85,3.2
297,11.92,1.69,3
298,12.96,1.47,3.3
299,12.99,1.1,3.6
300,12.97,2.36,3.7
301,13.17,1.13,3.5
302,13.2,1.51,3.5
303,13.25,2.26,3.1
304,12.91,1.07,3.4
305,13.13,0.36,4.2
306,13.4,1.48,3.7
307,13.67,0.72,4.1
308,14.19,1.36,4.3
309,14.23,1.15,4.3
310,13.94,0.84,4.6
311,13.28,1,3.6
312,12.91,4.93,3.5
313,13.47,0.3,4.1
314,13.89,3.13,3.9
315,14.34,3.35,4.1
316,14.01,2.3,3.8
317,13.76,1.4,3.9
318,13.9,2.35,4.3
319,13.93,1.92,4.2
320,14.65,1.43,4.5
321,15.24,0.9,5
322,14.85,5.45,4.2
323,13.91,2.9,4.2
324,13.8,1.51,4.4
325,14.42,1.14,4.6
326,15.13,1.96,4.4
327,14.94,2.56,4.2
328,14.8,0.98,4.4
329,15.34,0.37,4.7
330,15.55,2.26,4.7
331,15.56,3.27,4.6
332,15.44,2.48,4.7
333,15.24,2.68,4.5
334,15.35,0.88,4.8
335,15.67,3.26,4.2
336,15.77,2.01,4.6
337,16.01,0.33,4.3
338,16.4,0.95,5
339,16.9,0.83,5
340,16.8,5.49,4.5
341,16.42,2.91,4.7
342,16.38,3.04,4.6
343,16.53,3.44,4.2
344,16.59,3.67,4.5
345,16.75,1.59,4.3
346,16.82,1.48,4.6
347,16.88,1,5
348,16.98,1.29,4.8
349,16.7,1.69,4.9
350,16.88,3.61,4.7
351,17.36,1.5,4.9
352,17.25,3.12,4.4
353,16.7,3.49,4.2
354,16.34,2.79,4.4
355,16.32,3.71,4.7
356,16.24,1.83,5.1
357,16.13,0.45,5
358,16.57,1.61,4.6
359,17.08,1.4,5
360,17.33,0.79,5.1
361,17.46,2.11,5.3
362,17.16,2.32,5.3
363,16.54,2.3,4.6
364,16.41,0.82,4.7
365,17.05,3,4.8
366,17.17,0.65,5.6
