DOY,MeanT,Rain,MeanPET
1,18.08,0.5,4.8
2,18.34,3.82,4.2
3,18.59,1.17,3.9
4,18.28,3.92,4.8
5,17.8,1.33,4.5
6,17.91,1.75,4.8
7,18.17,4.2,4.5
8,18.15,4.05,4.6
9,18.41,3.01,4.8
10,18.54,2.75,4.3
11,18.16,1.69,4.8
12,18.3,1.07,4.5
13,18.51,1.25,4.6
14,18.35,1.26,4.7
15,18.19,0.37,4.8
16,18.19,1.43,5.2
17,18.38,3.42,4.7
18,18.6,2.87,4.4
19,18.59,1.65,4.7
20,18.2,2.21,4.6
21,18.3,2.44,4.6
22,18.63,3.55,4.4
23,18.67,4.02,4.7
24,18.97,2.02,4.3
25,19.11,2.85,4.6
26,19.07,0.79,4.9
27,19.12,4.25,4.9
28,18.94,6.97,5.1
29,19.21,1.68,5
30,19.47,1.93,4.6
31,19.78,5.19,4.2
32,19.76,5.33,4.1
33,19.48,1.81,4.6
34,19.39,0.27,4.3
35,19.58,2.01,4.2
36,19.5,1.05,4.8
37,18.67,3.1,4.4
38,18.54,0.86,4.2
39,18.75,0.95,4.3
40,18.82,1.58,4
41,19.28,2.4,3.7
42,19.71,7.23,4.1
43,19.41,4.19,3.6
44,19.05,2.78,3.8
45,18.71,0.95,4
46,18.39,1,4
47,18.35,1.06,3.5
48,18.47,1.7,3.6
49,19.04,0.6,3.7
50,19.36,1.81,3.8
51,19.25,3.03,3.8
52,19.21,0.19,3.7
53,19.17,3.77,3.5
54,18.5,2.58,3.6
55,17.86,1.75,4
56,17.84,1.01,4.1
57,18.26,0.78,3.8
58,18.51,2.77,3.6
59,18.36,3.4,3.7
60,18.36,3.4,3.7
61,18.15,1.84,3.5
62,18.2,1.33,3.5
63,17.85,0.77,3.7
64,17.27,3.42,3.4
65,17.28,1.57,3.5
66,17.63,2.43,3.4
67,17.66,2.96,3.2
68,17.55,0.63,3.3
69,17.3,0.38,3.4
70,17.46,0.53,3.3
71,17.5,2.59,3
72,17.26,2.57,3
73,17.02,0.79,3.2
74,16.9,0.88,3.2
75,17.09,1.5,3.1
76,17.35,0.72,2.9
77,17.37,5.36,3
78,16.97,0.96,2.9
79,16.62,0.48,2.9
80,16.8,1.05,2.8
81,17.28,4.71,2.6
82,17.42,1.26,2.8
83,17.12,2.73,2.8
84,16.92,2.47,2.5
85,16.79,1,2.6
86,16.7,1.7,2.6
87,17.03,1.22,2.3
88,17.12,2.96,2.4
89,16.72,3.55,2.6
90,16.4,1.76,2.5
91,16.31,2.21,2.4
92,16.12,1.42,2.2
93,16.15,3.07,2.3
94,16.19,0.78,2.3
95,16.03,4.39,2.2
96,15.85,2.04,2.3
97,15.53,1.89,2.3
98,15,0.94,2.2
99,14.63,1.38,2.1
100,14.52,4.29,1.9
101,14.59,2.16,1.8
102,14.79,2.42,1.9
103,14.78,8.27,1.9
104,14.5,4.38,1.7
105,13.93,1.71,2
106,13.95,6.01,1.7
107,14.48,2.93,1.8
108,14.75,3.51,1.8
109,14.32,4.05,1.8
110,13.99,0.71,1.7
111,14.14,2.38,1.6
112,14.23,0.77,1.6
113,13.98,0.83,1.5
114,14,0.72,1.5
115,13.97,3.38,1.6
116,13.42,3.11,1.5
117,13.49,0.73,1.5
118,14.32,3.95,1.4
119,14.36,5.64,1.4
120,13.65,5.93,1.3
121,13.49,2.83,1.5
122,13.47,1.77,1.4
123,13.23,8.23,1.3
124,13.16,4.8,1.2
125,13.25,4.38,1.2
126,13.07,2.24,1.1
127,12.74,1.33,1.2
