DOY,MeanT,Rain,MeanPET
1,15.7,5.27,3.7
2,15.96,3.88,3.4
3,15.24,1.87,3.9
4,14.76,0.94,3.9
5,15.18,2.53,3.5
6,15.22,2.78,3.4
7,14.7,1.41,3.3
8,14.53,0.18,4.3
9,15.14,1.28,4.1
10,15.29,1.44,3.8
11,15.1,2.28,2.9
12,15.04,2.64,3.5
13,14.8,3.72,3.1
14,15.04,1.83,3.8
15,15.57,0.98,3.7
16,16.19,0.56,4.1
17,15.99,2.53,3.5
18,15.05,3.72,3
19,15.08,1.83,3.4
20,15.2,0.73,3.4
21,15.19,2.12,3.2
22,15.69,2.08,3.5
23,15.95,1.29,3.6
24,15.81,0.37,3.2
25,15.96,0.56,3.3
26,16.25,2.32,3.4
27,15.63,1.52,3.5
28,15.38,0.73,3.5
29,15.97,0.46,3.5
30,16.27,0.36,3.4
31,17.16,1.47,4.2
32,17.17,2.84,3.4
33,16.13,0.96,3.2
34,15.79,0.6,3.5
35,15.33,3.88,3
36,14.66,0.83,2.9
37,14.86,3.55,3.7
38,14.91,0.79,3.3
39,15.3,0.78,3.5
40,15.51,2.62,2.6
41,14.99,1.24,3.1
42,15.34,2.49,3.1
43,15.41,2.15,2.7
44,14.73,1.39,2.9
45,14.18,1.18,2.7
46,14.36,0.78,2.8
47,14.85,0.25,3.1
48,15.11,0.78,3
49,16.01,1.35,2.9
50,16.29,1.97,2.5
51,15.88,7.05,2.8
52,16.05,5.19,2.7
53,15.07,6.79,2
54,14.18,1.32,2.7
55,15.02,1.78,3
56,15.42,2.14,2.8
57,15.05,0.26,2.8
58,14.86,1.03,2.6
59,14.52,2.8,2.4
60,14.52,2.8,2.4
61,14.38,1.07,2.5
62,14.94,2.47,2.8
63,14.43,0.69,2.7
64,14.23,0.99,2.7
65,14.76,0.72,2.4
66,15.15,1.73,2.5
67,14.4,2.23,2
68,13.83,0.73,2.4
69,13.97,0.18,2.4
70,14.32,1.46,2.4
71,13.95,1.27,1.9
72,13.73,3.73,2.3
73,13.89,1.84,2.2
74,14.22,1.53,2.4
75,14.44,2.61,1.8
76,13.52,3.31,1.9
77,13.22,2.82,2.1
78,13.55,0.81,2.2
79,14.04,0.32,2.1
80,14.66,0.86,2.1
81,14.39,5.04,1.8
82,13.44,0.47,1.9
83,13.21,0.8,1.8
84,13.57,1.26,1.7
85,13.47,1.72,1.6
86,14.12,0.92,2
87,14.6,1.11,1.9
88,13.74,0.44,1.8
89,13.46,1.9,1.5
90,13.85,0.64,1.6
91,14.11,0.64,1.8
92,13.61,0.37,1.7
93,13.12,1.53,1.5
94,12.94,1.73,1.5
95,13.06,2.33,1.6
96,12.81,1.29,1.6
97,12.38,2.48,1.4
98,11.84,0.67,1.5
99,11.64,0.66,1.6
100,11.66,0.13,1.5
101,11.72,1.26,1.2
102,12.09,2.66,1.4
103,11.7,3.66,1.1
104,11.1,5.1,1.3
105,11.51,1.11,1.2
106,12.04,1.31,1.2
107,12.07,0.72,1.2
108,11.54,4.07,1.2
109,11.31,1.3,1.1
110,11.76,0.5,1.3
111,11.93,0.87,1.2
112,11.77,1.99,1
113,12.12,0.16,1.1
114,12.46,1.68,1.2
115,11.87,1.28,0.8
116,11.66,7.8,1.2
117,11.91,2.12,1.1
118,11.57,4.48,1
119,11.46,6.72,1.1
120,11.21,3.31,0.9
121,10.37,1.82,1
122,9.629,0.62,0.9
123,9.563,1.87,0.8
124,9.969,1.17,0.9
125,10.55,0.81,1
126,10.6,1.11,0.7
127,10.52,0.72,0.8
128,10.73,4.07,0.9
129,10.51,0.72,0.8
130,10.53,1.71,0.8
131,10.18,1.12,0.5
132,10.04,0.88,0.7
133,10.16,2.66,0.8
134,9.841,2.11,0.8
135,9.959,0.73,0.8
136,9.985,0.17,0.7
137,9.872,1.6,0.9
138,9.964,0.64,0.8
139,10.09,3.17,1
140,9.929,1.28,0.9
141,9.344,0.93,0.8
142,8.969,1.53,0.8
143,8.825,2.67,0.7
144,8.911,3.54,0.7
145,8.719,7.12,0.7
146,8.5,3.49,0.7
147,8.267,2.29,0.7
148,7.729,2.4,0.7
149,7.597,4.69,0.5
150,7.938,1.76,0.7
151,8.612,2,0.7
152,8.55,2.05,0.6
153,8.238,0.12,0.6
154,8.197,2.16,0.6
155,8.024,1.45,0.5
156,7.491,1.72,0.5
157,7.45,0.49,0.7
158,7.485,2.21,0.7
159,7.353,1.38,0.6
160,7.647,0.22,0.7
161,8.088,0.68,0.6
162,8.326,0.61,0.6
163,8.147,2.35,0.7
164,8.035,0.28,0.6
165,8.147,0.75,0.6
166,8.135,0.13,0.6
167,7.738,1.52,0.5
168,7.618,3.94,0.5
169,7.3,2.45,0.6
170,6.709,2.92,0.4
171,6.653,2,0.4
172,6.482,1,0.4
173,6.197,2.13,0.4
174,6.068,0.58,0.5
175,6.053,0.94,0.5
176,6.585,0.31,0.6
177,7.206,0.53,0.6
178,7.232,2.76,0.5
179,7,1.64,0.6
180,6.435,1.44,0.5
181,6,2.53,0.5
182,6.456,0.24,0.6
183,6.853,1.38,0.6
184,6.891,1.53,0.6
185,7.088,1.86,0.6
186,7.241,1.66,0.6
187,6.838,0.76,0.6
188,6.535,2.06,0.7
189,6.441,0.78,0.7
190,6.076,1.52,0.6
191,5.924,1.05,0.5
192,5.941,0.15,0.6
193,6.053,0.86,0.7
194,5.95,3.95,0.7
195,6.197,0.79,0.7
196,6.515,0.48,0.7
197,6.25,1.24,0.4
198,6.068,0.64,0.5
199,6.503,0.31,0.7
200,7.074,1.84,0.7
201,6.797,4.53,0.5
202,6.665,2.56,0.6
203,7.218,10.65,0.8
204,7.415,2.56,0.7
205,7.038,3.55,0.8
206,6.609,0.94,0.7
207,6.503,1.35,0.7
208,7.279,2.59,0.8
209,7.885,1.02,0.8
210,7.865,0.16,0.8
211,7.553,1.92,0.7
212,7.153,6.87,0.8
213,7.729,3.85,0.9
214,8.462,0.38,0.8
215,8.391,1.42,0.8
216,7.903,2.88,0.7
217,7.344,1.46,0.7
218,7.232,0.98,0.8
219,7.403,1.38,0.8
220,7.324,4.26,0.9
221,6.735,2.09,0.9
222,6.4,0.67,0.9
223,6.926,3.71,1
224,7.218,1.95,1
225,6.997,2.99,0.8
226,7.059,1.81,0.9
227,7.006,2.69,0.9
228,6.884,2.49,0.8
229,7.456,0.93,1
230,7.5,2.74,0.8
231,7.4,7.79,0.9
232,7.576,0.78,1
233,7.347,1.24,0.9
234,7.372,1.08,0.9
235,7.716,0.11,1.1
236,8.112,0.74,1
237,8.506,1.62,1.1
238,8.897,0.92,1.2
239,9.229,0.94,1.3
240,9.032,0.38,1.4
241,8.9,0.56,1.3
242,8.859,1.33,1.2
243,8.606,2.45,1.2
244,8.953,1.13,1.8
245,9.218,0.91,1.4
246,9.303,0.25,1.6
247,9.291,1.54,1.6
248,9.165,1.21,1.5
249,8.941,0.15,1.5
250,8.565,0.31,1.6
251,8.544,0.64,1.6
252,8.518,0.25,1.6
253,8.629,1.69,1.7
254,8.694,1.53,1.7
255,9.082,0.33,1.7
256,9.921,0.87,1.8
257,9.715,1.32,1.6
258,9.656,0.67,2
259,10.26,0.18,2
260,10.8,0.35,2.4
261,9.997,1.64,2
262,8.735,2.12,1.8
263,8.938,0.56,1.8
264,9.171,0.42,1.7
265,9.356,0.39,1.9
266,9.576,1.4,2
267,9.783,1.58,1.8
268,9.892,2.96,1.6
269,9.847,1.38,1.9
270,9.794,2.07,2.1
271,9.522,1.22,1.8
272,9.778,1.11,2.2
273,10.1,0.38,1.9
274,10.14,2.14,1.8
275,10.28,0.74,2
276,10.52,1.68,2.1
277,10.82,0.06,2.5
278,10.45,2.09,2.4
279,9.819,1.18,2.5
280,9.565,0.72,2.3
281,9.906,2.33,2.4
282,9.511,1.54,2
283,9.278,0.54,2.2
284,10.27,2.52,2.2
285,10.99,2.58,2.5
286,10.64,1.53,2.2
287,10.67,1.11,2.7
288,10.46,1.89,2.5
289,9.697,0.99,2.4
290,10.57,0.71,2.7
291,11.79,2.82,2.9
292,11.1,7.02,2.6
293,10.47,0.86,3
294,11.17,0.73,3
295,11.28,1.46,3
296,10.43,1.04,2.7
297,10.32,1.26,2.9
298,11.17,0.86,2.8
299,11.19,3.28,2.7
300,10.82,1.51,2.5
301,11.14,1.41,2.8
302,11.5,1.07,2.7
303,11.3,2.84,2.7
304,11.44,0.26,3
305,12.16,1.46,3.1
306,12.68,0.56,3.4
307,13.29,1.82,3.3
308,13.24,0.78,3.3
309,12.66,0.49,3.7
310,11.69,0.67,3.3
311,10.41,0.98,2.7
312,10.97,1.59,3.1
313,11.81,4.17,2.8
314,12.06,1.4,3
315,12.73,1.22,2.9
316,12.68,2.71,3
317,12.13,1.24,3.1
318,11.77,1.39,2.9
319,11.87,2.67,3.1
320,12.67,1.58,3.2
321,12.89,3.53,3.4
322,12.18,3.03,2.4
323,11.74,1.66,3.3
324,12.18,4.84,3.3
325,12.96,4.4,3.1
326,13.09,5.81,2.9
327,13.29,0.91,3.8
328,14.03,2.08,3.8
329,14.31,1.14,3.4
330,14.2,0.91,3.8
331,13.77,2.09,3.9
332,12.79,2.03,3
333,12.75,1.08,3.9
334,13.05,2.56,3.5
335,12.27,1.81,3.1
336,12.5,0.91,3.3
337,13.54,0.26,3.7
338,14.14,1.29,3.7
339,14.54,1.02,3.7
340,14.28,3.13,3.5
341,13.54,2.54,3.1
342,13.62,2.34,3.9
343,14.04,1.39,3.4
344,14.19,2.21,3.4
345,14.46,1.61,3.2
346,14.17,3.12,2.7
347,13.74,2.38,3
348,13.55,0.82,3.5
349,13.99,1.37,3.6
350,14.44,2.91,3.1
351,14.62,4.26,3
352,14.42,3.26,2.9
353,14.42,1.76,3.3
354,14.42,0.76,3.4
355,14.15,2.87,3.1
356,14.01,3.02,3.1
357,13.91,1.73,3.9
358,14.06,1.32,3.9
359,14.69,2.24,3.4
360,14.97,3.27,3.9
361,14.96,1.73,3.7
362,14.76,3.92,3.5
363,14.48,1,3.7
