DOY,MeanT,Rain,MeanPET
1,17.22,1.13,4.7
2,17.78,2.47,4.6
3,17.47,2.04,4.8
4,16.95,3.88,5.1
5,17,3.55,4.5
6,17.17,0.83,4.7
7,17.25,2.96,4.5
8,17.3,3,4.5
9,17.51,1.13,4.7
10,17.63,1.86,4.3
11,17.49,0.7,4.7
12,17.33,2.71,4.4
13,17.03,2.24,4.5
14,17.07,3.07,5.1
15,17.19,0.47,4.6
16,17.31,0.41,5.2
17,17.55,1.56,5
18,17.58,3.83,4.8
19,17.53,1.2,4.7
20,17.31,1.02,5.2
21,17.6,0.51,4.8
22,18.14,1.43,4.4
23,17.99,1.8,4.6
24,17.79,1.24,4.5
25,17.77,1.33,4.6
26,17.54,2.28,4.9
27,17.08,1.05,4.2
28,16.88,1.1,4.5
29,17.46,2.8,4.5
30,18.5,1.02,4.9
31,18.81,0.85,4.7
32,18.47,3.76,4.3
33,18.11,3.67,4.1
34,18.03,0.39,4.3
35,18.22,5.98,4.2
36,17.88,4.05,4.3
37,17.32,0.8,4.6
38,17.46,1.62,4.4
39,17.75,1.51,4.7
40,17.95,1.45,4.4
41,18.13,3,4
42,18.36,5.36,3.8
43,18.59,2.9,3.8
44,18.2,1.22,4.3
45,17.7,1.32,4.1
46,17.37,3.9,4.2
47,17.31,1.91,3.6
48,17.57,2.56,3.9
49,17.73,2.22,3.9
50,18.11,5.51,4.1
51,18.42,3.14,4
52,18.19,2.57,4.2
53,18,3.1,3.7
54,17.46,2.13,3.8
55,16.76,1.19,4.2
56,16.69,0.47,3.7
57,16.8,0.43,3.9
58,17.12,1.56,3.6
59,17.42,2.27,3.9
60,17.42,2.27,3.9
61,17.57,2.06,3.6
62,17.25,2.43,3.4
63,16.46,1.74,3.7
64,16.25,1.52,3.5
65,16.85,1.36,3.7
66,16.99,3.06,3.4
67,16.92,2.3,3.6
68,16.66,1.63,3.4
69,16.42,0.32,3.5
70,16.36,1.43,3.4
71,16.07,3.14,3.1
72,15.83,3.27,3.2
73,15.73,0.91,2.9
74,15.95,1.69,3.2
75,16.48,1.64,3.3
76,16.47,2.75,3.3
77,15.92,3.62,3.1
78,15.78,3.32,3.1
79,16.08,0.99,3
80,16.3,1.83,3
81,16.46,6.49,2.6
82,16.16,2.39,2.7
83,15.43,2.28,2.4
84,15.48,1.87,2.5
85,16.01,2.24,2.8
86,16.1,1.4,2.6
87,16.13,2.41,2.5
88,16.12,1.73,2.5
89,15.77,3.48,2.3
90,15.57,2.33,2.3
91,15.42,1.56,2.3
92,15.18,3.47,2.1
93,15.04,3.39,2.1
94,15.32,1.01,2.4
95,15.34,3.07,2.5
96,15.04,2.7,2.3
97,15.1,1.61,2
98,14.64,3.61,2.2
99,14.09,3.64,1.9
100,13.88,4.72,1.8
101,13.92,4,1.7
102,14.17,3.78,1.8
103,14.08,2.98,1.8
104,13.84,2.1,1.8
105,13.37,1.04,1.8
106,13.52,1.12,1.6
107,14.1,2.43,1.6
108,14.16,2.09,1.7
109,13.56,1.46,1.7
110,13.41,2.96,1.6
111,13.98,2.24,1.5
112,13.78,3.18,1.4
113,13.47,1.95,1.5
114,13.83,1.21,1.6
115,13.7,3.68,1.7
116,13.2,1.42,1.3
117,13.54,1.32,1.6
118,14.23,5.03,1.4
119,13.91,3.2,1.4
120,13.25,3.87,1.4
121,13.41,2.04,1.4
122,13.45,1.03,1.5
123,13.16,4.27,1.5
124,13.01,4.1,1.1
125,13.03,3.14,1.2
126,13.17,3.88,1.2
127,13.07,1.51,1.3
128,13.08,3.35,1.1
129,13.26,2.75,1.2
130,13.38,1.96,1.2
131,13.32,1.33,1.1
132,13,4.15,1.1
133,12.67,4.16,1
134,12.51,7.28,1.1
135,12.77,7.92,1.2
136,12.81,2.46,1.1
137,12.35,2.04,1.4
138,11.67,1.73,1.1
139,11.57,2.13,1
140,11.94,1.89,1.1
141,12.27,2.16,1.2
142,12.14,1.9,1.2
143,11.88,6.41,1.1
144,11.95,3.68,0.9
145,12.06,3.84,1
146,11.98,3.04,1.1
147,11.79,3.05,1
148,11.38,4.53,1.2
149,10.86,4.64,1
150,10.92,2.72,0.9
151,10.76,4.13,0.8
152,10.49,1.65,0.9
153,10.5,5.3,1
154,10.34,3.12,0.8
155,10.02,2.41,0.9
156,10.06,4.13,0.7
157,10.19,2.54,0.7
158,10.08,2.62,0.8
159,10.02,4.07,0.8
160,10.03,2.07,0.8
161,10.56,4.99,0.8
162,11.19,6.48,0.8
163,11.44,4.75,0.9
164,11.03,5.51,0.9
165,10.16,1.77,0.8
166,10.24,2.48,0.7
167,10.88,2.85,0.9
168,10.72,3.99,0.9
169,10.35,7.25,0.7
170,10.13,8.18,0.7
171,9.857,5.08,0.7
172,10.01,3.95,0.7
173,10.25,3.7,0.9
174,9.835,1.82,0.8
175,9.483,2.49,0.8
176,9.667,1.85,0.8
177,10.09,4.33,0.9
178,10.09,3.02,0.8
179,9.457,3.1,0.8
180,9.16,1.98,0.8
181,9.263,4.37,0.8
182,9.147,3.59,0.8
183,8.89,3.59,0.7
184,9.021,1.95,0.9
185,9.321,3.78,0.8
186,9.195,4.05,0.8
187,8.903,2.65,0.7
188,9.028,2.57,0.8
189,9.16,6.65,0.9
190,8.773,3.24,0.8
191,8.429,3.57,0.9
192,8.334,1.36,0.8
193,8.323,4.08,0.7
194,8.53,3.68,0.9
195,8.432,4.11,0.9
196,8.722,5.54,0.8
197,8.857,3.4,0.7
198,9.002,2.72,0.7
199,9.518,4.33,0.7
200,9.523,2.24,0.8
201,9.648,3.63,0.8
202,9.79,3.48,0.8
203,10.05,7.63,1
204,9.94,3.6,0.9
205,9.668,2.77,0.9
206,9.06,0.36,0.9
207,8.602,1.37,0.9
208,9.095,2.23,1
209,9.595,4.28,0.9
210,9.42,2.53,1
211,9.232,3.01,0.9
