DOY,MeanT,Rain,MeanPET
1,17.15,1.73,4.7
2,17.19,3.24,4.5
3,17.04,1.75,4.3
4,16.71,2.55,5
5,16.66,1.67,4.6
6,17.08,0.19,4.8
7,17.41,1.97,4.2
8,17.45,0.55,4.1
9,17.6,2.91,4.8
10,17.28,2.59,4.4
11,17.06,0.79,4.9
12,17.22,3.19,4.5
13,17.01,2.91,4.5
14,17.18,3.63,4.9
15,17.51,2.27,4.6
16,17.36,1.11,5.1
17,17.32,2.01,4.9
18,17.42,1.81,4.4
19,17.43,2.09,4.4
20,17.14,0.7,4.2
21,17.43,3.71,4.3
22,17.83,3.27,4.4
23,17.8,4.23,4.7
24,18.19,2.3,4.4
25,18.2,2.6,4.6
26,17.7,1.67,4.8
27,17.05,4.29,4.5
28,17.09,9.01,4.6
29,17.77,1.41,4.7
30,18.54,1.25,4.8
31,18.88,1.79,4.4
32,18.3,2.86,3.9
33,18.08,1.69,4.1
34,18.29,0.89,4.1
35,18.45,2.28,4.1
36,18.21,1.38,4.5
37,17.24,1.55,4.2
38,17.09,2.81,4.1
39,17.49,2.18,3.9
40,17.6,2.14,4.2
41,18,3.33,3.4
42,18.51,6.79,3.7
43,18.41,3.65,3.5
44,18.03,2.89,3.9
45,17.55,1.11,4
46,17.18,1.04,3.8
47,17.12,3.37,3.6
48,17.16,2.43,3.7
49,17.82,2.74,4.1
50,18.14,2.15,3.9
51,18.14,1.81,3.8
52,18.11,1.09,3.8
53,17.67,3.26,3.4
54,16.84,4.86,3.6
55,16,0.75,3.5
56,15.99,0.63,4
57,16.58,0.34,3.5
58,17.13,1.31,3.3
59,17.04,2.64,3.4
60,16.93,1.85,3.3
61,16.64,3.95,3.3
62,16.32,0.73,3.7
63,16.01,2.9,3.6
64,16.13,2.71,3.3
65,16.07,2.07,2.9
66,15.9,2.46,3.1
67,15.91,2.16,3.2
68,15.41,1.17,3.1
69,15.54,2.73,3.1
70,15.5,2.27,2.8
71,15.14,3.49,3
72,15.04,0.64,3
73,14.87,1.86,3.2
74,15.14,1.23,2.9
75,15.37,1.67,2.7
76,14.9,1.58,2.5
77,14.83,1.33,2.7
78,15.15,1.16,3.1
79,15.15,0.62,3.1
80,15.53,3.57,2.3
81,15.57,2.56,2.3
82,14.98,4.47,2.3
83,14.77,2.61,2.2
84,14.8,0.4,2.5
85,14.78,3.37,2.4
86,15.25,1.76,2.3
87,15.37,2.29,2.2
88,14.97,4.46,2.2
89,14.58,1.58,2.2
90,14.34,2.49,2.1
91,14.39,0.71,1.9
92,14.37,1.66,2
93,14.23,1.8,2.1
94,14.01,4,2.1
95,13.81,1.39,2
96,13.62,2.05,1.9
97,13.05,1.94,1.9
98,12.74,3.26,1.8
99,12.73,3.86,1.6
100,12.65,3.17,1.6
101,12.81,3.36,1.7
102,12.84,3.92,1.6
103,12.58,2.63,1.8
104,12.17,1.19,1.6
105,12.31,6.13,1.5
106,12.61,2.74,1.6
107,12.66,2.23,1.5
108,12.32,1.23,1.6
109,12,1.35,1.5
110,12.38,2.48,1.4
111,12.37,2.19,1.5
112,12.04,1.47,1.3
113,12.11,1.21,1.4
114,11.92,0.87,1.7
115,11.42,2.76,1.4
116,11.39,2.05,1.5
117,11.98,2.19,1.2
118,11.97,2.35,1.2
119,11.45,4.87,1
120,11.28,2.51,1.3
121,11.15,1.68,1.3
122,11.49,3.38,1.1
123,11.51,2.4,1.1
124,11.09,1.95,1.2
125,10.84,2.3,0.9
126,10.91,1.07,1.2
127,11.23,1.99,1.1
128,10.84,1.95,0.9
129,10.52,4.43,0.9
130,10.61,1.45,0.9
131,10.77,4.89,0.9
132,10.83,5.19,0.9
133,10.44,0.99,1.1
