DOY,MeanT,Rain,MeanPET
1,19.47,1.97,5.6
2,19.47,2.16,5.2
3,19.49,1.24,5.1
4,19.42,3.66,5.2
5,19.14,1.94,5.5
6,19.35,2.77,5.4
7,19.67,2.33,5.6
8,19.75,2.31,5.4
9,19.78,4.38,5.4
10,19.76,3.03,5.3
11,19.82,0.8,5.4
12,19.89,1.43,5.2
13,19.82,2.77,5.3
14,19.6,1.33,5.3
15,19.78,0.73,5.5
16,20.01,1.52,5.8
17,20.07,0.6,5.8
18,20.17,2.15,5.1
19,20.16,1.96,5.7
20,20.05,1.31,5.6
21,20.13,3.13,5.3
22,20.37,3.6,5.5
23,20.47,3.6,5.5
24,20.58,3.44,5.1
25,20.48,1.58,5.3
26,20.32,1.58,5.4
27,20.28,3.54,5.4
28,20.21,9.03,5.6
29,20.43,0.52,5.5
30,20.7,2.17,5.4
31,20.75,5.96,5
32,20.9,3.73,5.1
33,20.87,2.93,5.1
34,20.71,1.49,5
35,20.58,3.74,4.7
36,20.52,3.02,5.1
37,20.27,3.68,5.1
38,19.99,2.51,4.8
39,19.97,1.15,4.7
40,20.11,1.75,4.9
41,20.55,1.99,4.6
42,20.82,6.97,4.3
43,20.57,2.63,4
44,20.41,4.27,4.5
45,20.45,0.48,4.7
46,20.34,2.26,4.9
47,20.05,6.12,4.4
48,19.96,4.27,4.3
49,20.34,4.2,4.3
50,20.64,2.27,4.2
51,20.59,2.45,4.1
52,20.49,1.7,4.4
53,20.39,2.86,4.1
54,19.9,4.35,3.9
55,19.32,2.08,4.3
56,19.34,0.41,4.7
57,19.7,3.02,4.5
58,19.88,4.51,4.1
59,19.99,6.2,4.1
60,19.99,6.2,4.1
61,19.77,4,3.8
62,19.63,4.24,3.7
63,19.48,2.87,4.2
64,19.14,1.07,3.9
65,19.07,3.05,4.1
66,19.08,2.51,3.8
67,19.12,3.73,3.7
68,19.02,2.72,3.9
69,18.71,1.74,3.9
70,18.82,3.35,3.9
71,18.72,4.78,3.2
72,18.48,6.23,3.6
73,18.36,1.06,3.6
74,18.28,1.21,3.6
75,18.4,2.39,3.5
76,18.48,1.5,3.6
77,18.41,6.82,3.2
78,18.22,1.82,3.6
79,18.13,3.09,3.4
80,18.27,1.16,3.6
81,18.61,5.36,3.2
82,18.71,3.45,3.1
83,18.32,3.89,3.1
84,18,2.91,3
85,17.88,1.78,2.9
86,18.03,3.77,2.9
87,18.43,2.59,2.8
88,18.49,3.26,2.8
89,18.37,6.23,2.9
90,18.09,2.01,3
91,17.92,2.67,2.9
92,17.85,3.25,2.7
93,17.74,6.22,2.6
94,17.71,2.5,2.9
95,17.64,5.82,2.7
96,17.42,2.49,2.6
97,17.16,5.68,2.5
98,16.93,2.88,2.6
99,16.61,2.51,2.3
100,16.33,10.19,2.1
101,16.31,2.54,2.3
102,16.36,5.52,2.2
103,16.49,5.84,2.2
104,16.47,4.82,2.2
105,15.95,1.99,2.2
106,15.88,4.62,2.1
107,16.33,3.28,2.1
108,16.52,5.8,2.1
109,16.12,3.09,2.1
110,15.84,6.83,1.9
111,15.88,7.01,1.9
112,15.75,4.7,1.9
113,15.62,2.77,1.9
114,15.62,1.51,1.8
115,15.53,2.71,2
116,15.26,6.13,1.9
117,15.3,3.37,1.9
118,15.74,5.19,1.7
119,15.87,7.87,1.8
120,15.39,4.73,1.8
121,14.95,3.75,1.7
122,14.9,3.67,1.7
123,14.9,6.38,1.7
124,14.93,5.53,1.7
125,14.94,5.06,1.8
126,14.72,2.75,1.6
127,14.61,1.16,1.6
128,14.83,1.96,1.6
129,14.89,2.63,1.5
130,14.51,4.01,1.3
131,14.32,1.69,1.4
132,14.56,3.51,1.3
133,14.57,4.71,1.2
134,14.14,1.18,1.5
135,13.84,5.26,1.3
136,13.93,3.45,1.3
137,13.77,1.12,1.5
138,13.31,6.12,1.4
139,13.29,9.32,1.3
140,13.61,2.35,1.3
141,13.82,2.07,1.3
142,13.6,5.9,1.3
143,13.48,3.72,1.1
144,13.4,5.65,1.2
145,13.44,6.42,1.2
146,13.57,1.97,1.2
147,13.4,4.82,1.3
148,13.15,3.95,1.1
149,12.43,5.73,1.1
150,12,4.68,1.1
151,11.95,3.87,0.9
152,11.94,4.28,1.1
153,12.07,5.31,1.1
154,11.98,1.4,1.1
155,11.55,5.69,1.1
156,11.46,5.17,1
157,11.82,4.63,1
158,11.81,3.22,1
159,11.43,2.68,1
160,11.46,1.71,1.2
161,11.87,5.66,0.8
162,12.13,6.73,0.8
163,12.18,4.28,1
164,12.08,5.14,0.9
165,11.76,4.41,1.1
166,11.47,1.76,0.9
167,11.51,2.67,0.9
168,11.47,3.97,1
169,11.38,4.1,0.9
170,11.55,6.16,0.7
171,11.45,4.07,0.9
172,11.36,4.9,1
173,11.68,2.67,0.9
174,11.47,4.75,1
175,10.94,2.54,0.9
176,10.89,5.67,0.8
177,11,5.05,0.9
178,10.98,2.39,1
179,10.9,3.35,1
180,10.9,4.49,1
181,10.67,6.21,1
182,10.44,4.01,1
183,10.46,3.76,1
184,10.33,3.3,1.1
185,10.18,3.43,0.9
186,10.25,3.38,0.9
187,10.66,5.66,0.9
188,10.94,3.63,1.1
189,11.04,4.19,1.1
190,10.68,2.4,1.1
191,10.4,3.3,1.1
192,10.29,3.34,1.1
193,10.27,8.25,1
194,10.15,2.47,1
195,9.993,2.09,1
196,10.29,6.03,0.9
197,10.78,7.06,1.1
198,10.97,9.22,1
199,10.98,3.91,0.9
200,10.77,2.45,1
201,10.74,6.48,0.9
202,11.03,2.84,1
203,10.83,5.36,1
204,10.61,4.63,1.1
205,10.77,5.34,1.1
206,10.69,1.52,1.3
207,10.43,6.53,1.2
208,10.47,3.93,1.1
209,10.54,1.69,1.3
210,10.74,4.18,1.1
211,10.65,7.67,1.2
212,10.52,3.61,1.2
213,10.63,1.2,1.2
214,10.97,5.73,1.2
215,11.45,6.53,1.2
216,11.23,2.39,1.3
217,10.73,5.47,1.1
218,10.48,5.62,1.2
219,10.62,3.35,1.2
220,10.87,4.19,1.3
221,10.87,4.23,1.4
222,10.66,2.1,1.4
223,10.86,2.19,1.6
224,11.43,4.62,1.6
225,11.34,1.69,1.6
226,11.13,2.26,1.5
227,10.9,3.99,1.5
228,10.37,3.81,1.5
229,10.34,1.65,1.5
230,10.79,4.68,1.7
231,10.94,2.37,1.7
232,10.91,4.04,1.5
233,11.19,3.11,1.7
