DOY,MeanT,Rain,MeanPET
1,17.4,1.14,4.8
2,18.56,0.73,4.5
3,19.2,3.06,4.8
4,18.12,1.23,4.6
5,17.57,0.94,4.7
6,18.24,0.06,4.8
7,18.61,4.01,4.3
8,18.28,3.94,4.4
9,17.99,0.66,4.6
10,18.32,2.97,4.5
11,18.19,1.05,4.4
12,18.24,0.69,4.4
13,18.17,2.65,4.7
14,17.63,1.54,4.3
15,17.9,2.96,4.1
16,18.26,1.44,4.8
17,18.54,0.88,5.2
18,18.61,0.68,4.1
19,19.06,0.14,5.1
20,18.77,0.79,4.6
21,18.05,2.41,4
22,18.57,7.21,4.8
23,18.61,4.85,4.6
24,18.46,0.26,4.3
25,18.57,0.14,4.8
26,19.15,1.33,4.9
27,18.73,4.84,3.9
28,17.88,4.69,4.5
29,18.52,0.05,4.6
30,19.18,0.8,4.9
31,19.47,3.31,4.2
32,19.68,1.45,4.2
33,19.37,0.61,3.9
34,18.94,0.44,4.6
35,19.34,1.33,4.2
36,19.1,2.34,4.2
37,17.77,1.59,3.7
38,17.4,2.15,3.7
39,17.99,1.39,3.8
40,18.81,1.28,4.2
41,19.33,2.27,3.6
42,19.05,2.44,3.3
43,18.87,1.35,3.6
44,18.78,8.5,3.2
45,18.18,0.51,3.5
46,17.63,1.46,3.6
47,17.38,3.63,3.5
48,17.31,2.37,3.3
49,17.92,4.96,4
50,18.53,0.49,4.1
51,18.88,0.71,4
52,19.76,0.64,4.5
53,20,0.51,3.9
54,18.35,2.3,3.5
55,16.96,3.5,3.6
56,16.92,2.4,3.4
57,16.92,0.19,3.3
58,16.98,1.76,3.2
59,17.25,1.35,3.4
60,17.25,1.35,3.4
61,16.91,0.72,3.4
62,17.03,0.33,3.1
63,16.54,1.42,3.2
64,16.45,2.65,2.9
65,16.69,2.08,3.1
66,16.44,1.48,2.9
67,16.62,2.85,3.2
68,16.63,7.05,2.9
69,16.17,0.75,2.6
70,15.88,2.54,2.9
71,15.94,1.61,2.6
72,15.86,0.4,2.5
73,15.74,0.29,2.6
74,15.77,0.21,2.9
75,16.63,2.84,2.7
76,17.11,0.8,2.5
77,16.13,0.57,2.4
78,15.65,1.55,2.6
79,15.63,2.52,2.7
80,15.72,1.73,2.6
81,16.26,4.22,2.3
82,16.38,2.09,2.2
83,15.82,4.61,2.3
84,15.44,3.03,2.3
85,15.64,1.54,2.3
86,15.69,0.38,2.3
87,16.31,0.86,2.5
88,16.06,1.53,2.1
89,15.6,0.9,2.1
90,15.68,0.79,2
91,15.75,0.33,2.3
92,15.54,0.52,1.9
93,15.12,0.75,2.1
94,14.98,2.66,2.1
95,14.79,5.54,1.9
96,14.39,1.04,1.7
97,14.25,2.84,1.9
98,13.78,2.99,1.7
99,13.24,2.82,1.4
100,13.48,3.24,1.7
101,13.39,5.09,1.7
102,13.7,2.07,1.8
103,14.5,0.75,1.8
104,14.13,4.75,1.6
105,12.87,1.36,1.6
106,12.79,1.77,1.6
107,13.37,3.22,1.5
108,13.76,5.15,1.3
109,13.33,1.26,1.5
110,12.77,0.48,1.5
111,13.38,1.64,1.6
112,13.66,1.08,1.4
113,13.11,1.09,1.4
114,12.79,0.33,1.5
115,13.27,0.35,1.5
116,13.42,2.51,1.3
117,13.1,3.76,1.5
118,13.5,2.95,1.4
119,13.43,0.86,1.5
120,13.19,2.65,1.3
121,13.03,1.49,1.3
122,11.66,1.13,1.2
123,11.01,1.49,1.2
124,11.38,0.79,1.1
125,12.07,1.7,1.2
126,12.26,1.96,1.1
127,12,1.34,1.1
128,11.72,0.26,1.1
129,12.05,1.13,1.2
130,12.69,2.67,1.1
131,12.76,0.79,1
132,12.28,2.71,0.9
133,11.57,3.87,0.9
134,11.37,0.89,1.1
135,11.8,0.93,1.2
136,12.15,3.7,1
137,12.03,0.89,1.1
138,10.98,1.31,1.1
139,10.5,2.17,1
