DOY,MeanT,Rain,MeanPET
1,18.51,3.3,4.7
2,18.76,3.95,4.6
3,19.12,0.97,4.8
4,18.83,5.25,4.4
5,18.4,2.99,4.7
6,18.73,1.71,4.6
7,19.13,4.35,4.4
8,19.25,4.27,4.5
9,19.16,10.97,3.9
10,19.13,4.42,3.8
11,19.21,1.23,3.9
12,19.35,3.44,4
13,19.39,2.61,4
14,19,4.05,3.9
15,19.05,0.85,4.4
16,19.06,0.67,4.3
17,19.25,2.27,4.6
18,19.46,2.46,4
19,19.39,2.44,4.3
20,19.46,3.45,4.3
21,19.37,3.22,4
22,19.39,6.63,4.2
23,19.54,2.5,3.6
24,19.79,3.62,4.2
25,19.66,1.44,4
26,19.76,3.14,4.1
27,20.04,4.04,3.9
28,20.09,9.7,4.2
29,20.13,1.66,4
30,19.97,3.04,4
31,19.92,3.63,3.7
32,20.19,3.73,4.5
33,20.26,1.55,4.1
34,20.12,1.98,3.8
35,20.02,4.87,3.7
36,19.93,1.49,4
37,19.59,5.53,3.8
38,19.41,4.39,3.9
39,19.39,4.18,3.6
40,19.53,1.84,4.3
41,19.91,2.17,4.2
42,20.14,10.39,3.1
43,20.08,5.92,3.5
44,19.92,0.97,4
45,19.94,1.97,4.3
46,19.8,5.38,4.6
47,19.3,5.31,3.5
48,19.14,3.52,3.5
49,19.44,7.55,3.5
50,19.86,2.57,3.2
51,19.88,7.58,3.6
52,19.76,2.65,3.3
53,19.83,5.55,3.8
54,19.45,5.05,3
55,18.66,2.79,3.2
56,18.35,3.28,3.8
57,18.77,5.81,3.6
58,19.07,5.79,3.4
59,19.15,5.92,3.5
60,19.15,5.92,3.5
61,19.06,7.05,3.3
62,19,5.24,2.9
63,18.86,6.95,3.8
64,18.58,2.85,3.1
65,18.36,4.7,3.3
66,18.36,2.52,3.1
67,18.46,4.51,3.1
68,18.15,2.22,2.6
69,17.82,2.1,2.7
70,18.14,4,3.2
71,18.22,5.12,2.7
72,17.88,5.58,2.9
73,17.61,1.67,2.6
74,17.39,3.96,2.5
75,17.46,3.7,3.2
76,17.63,4.73,2.9
77,17.78,3.53,2.6
78,17.78,2.34,3
79,17.73,3.03,3.1
80,17.8,3.43,3.3
81,17.77,9.45,3
82,17.77,2.3,2.6
83,17.75,2.53,3
84,17.57,2.61,2.7
85,17.52,3.62,2.3
86,17.6,5.35,2.6
87,17.67,2.42,2.1
88,17.75,4.17,2.2
89,17.69,11.12,2
90,17.4,2.99,2.5
91,17.28,2.64,2
92,17.27,5.15,2.2
93,17.23,9.28,1.9
94,17.05,1.61,2.4
95,16.82,6.74,2.4
96,16.71,4.16,2
97,16.65,3.66,1.8
98,16.43,4.89,2.4
99,16.12,5.53,1.5
100,15.72,3.49,1.6
101,15.77,4.07,1.8
102,16.1,3.34,1.9
103,16.1,8.95,1.7
104,16.19,8.17,1.7
105,15.87,3.55,1.7
106,15.46,5.66,1.6
107,15.71,5.99,1.7
108,16.1,8.99,1.5
109,15.71,5.85,1.4
110,15.47,8.35,1.3
111,15.64,7.41,1.4
112,15.47,5.14,1.4
113,15.4,2.04,1.6
114,15.51,3.5,1.3
115,15.4,3.49,1.7
116,15.14,7.08,1.4
117,15.13,3.27,1.6
118,15.55,5.62,1.2
119,15.63,5,1.5
120,15,6.69,1.4
121,14.62,5.37,1.5
122,14.54,5.77,1.3
123,14.46,9.37,1.4
124,14.3,4.26,1.7
125,14.18,5.63,1.5
126,14.21,2.37,1.5
127,14.21,1.62,1.3
128,14.61,3.42,1.3
129,14.57,2.84,1.3
130,14.29,3.69,1.2
131,14.25,4.31,1.2
132,14.44,5.54,1.2
133,14.49,5.9,1
134,14.04,3.48,1.2
135,13.74,8.24,1.3
136,13.74,3.67,1
137,13.65,3.99,1.3
138,13.29,3.83,1.1
139,13.32,4.38,1.1
140,13.74,2.9,1
141,13.8,7.22,0.9
142,13.48,7.02,1
143,13.23,4.85,1
144,13.24,7.75,1.2
145,13.25,5.6,1.1
146,13.42,8.85,1
147,13.62,8.08,1.2
148,13.1,5.79,1
149,12.16,4.62,1.1
150,11.94,6.69,1
151,12.19,10.22,0.9
152,12.37,10.23,1.3
153,12.18,8.61,1
154,11.79,5.73,0.9
155,11.51,4.7,1
156,11.39,5.5,1.1
157,11.63,6.16,0.9
158,11.98,3.34,0.8
159,11.74,4.94,0.9
160,11.5,4.34,0.8
161,11.89,6.5,0.8
162,12.17,4.98,0.6
163,12.22,4.16,0.8
164,12.25,9,0.7
165,11.77,5.84,0.6
166,11.57,3.26,0.8
167,11.69,3.45,0.8
168,11.39,8.36,0.7
169,11.47,7.66,0.8
170,11.58,6.63,0.6
171,11.38,5.17,0.7
172,11.52,9.51,0.8
173,11.87,5.59,0.8
174,11.57,10.05,0.9
175,11.07,4.38,0.7
176,11.02,8.24,0.8
177,11.01,8.86,0.8
178,10.96,3.86,0.9
179,10.97,5.26,0.8
180,10.99,8.05,0.9
181,10.8,8.02,0.8
182,10.54,6.31,1
183,10.32,10.57,0.9
184,10.15,7.83,0.9
185,10.12,6.85,0.8
186,10.36,7.91,0.8
187,10.86,6.78,0.8
188,11.25,7.56,1.1
189,11.37,8.46,1.1
190,11.15,5.47,0.9
191,10.56,5.87,0.8
192,10.17,7.17,0.6
193,10.19,11.33,0.7
194,10.19,5.64,0.7
195,9.923,2.8,0.9
196,10.27,9.07,1
197,11,11.37,1.1
198,11.25,13.27,1
199,11.15,8.92,0.9
200,10.79,4.57,1
201,10.82,7.81,0.8
202,11.11,4.43,0.9
203,10.88,8.2,0.9
204,10.42,10.02,0.8
205,10.65,4.81,0.9
206,10.71,5.12,1
207,10.44,9.84,1
208,10.56,5.69,0.9
209,10.51,3.77,1.1
210,10.68,5.77,0.9
211,10.66,10.3,1
212,10.45,3.84,0.9
213,10.61,2.67,1
214,10.91,8.4,1
215,11.44,12.03,0.9
216,11.11,4.28,1
217,10.44,5.13,1
218,10.5,8.55,0.9
219,10.66,4.26,1.1
220,10.91,5.64,1.1
221,11.02,7.26,1.2
222,10.72,6.98,1.1
223,10.6,7,1.4
224,11.06,8.23,1.4
225,11.1,3.69,1.3
226,10.98,4.97,1.3
227,11,6.75,1.4
228,10.44,4.12,1.2
229,10.11,2.77,1.6
230,10.62,4.29,1.7
231,10.97,4.39,1.5
232,11.06,7.09,1.5
233,11.47,8.08,1.7
234,11.47,3.95,1.4
235,11.01,3.88,1.7
236,10.73,4.36,1.4
237,11.03,5.54,1.5
238,11.36,6.32,1.6
239,11.45,2.07,1.4
240,11.25,6.28,1.5
241,10.95,5.48,1.7
242,11.3,4.34,1.5
243,11.65,6.87,1.6
244,11.35,6.87,1.7
245,11.28,5.68,1.6
246,11.62,5.58,1.5
247,11.83,4.99,1.4
248,11.97,7.57,1.5
249,12.07,4.8,1.7
250,11.96,3.22,2
251,11.76,6.34,1.8
252,11.75,4.97,1.9
253,11.76,9.08,1.5
254,11.83,5.17,2
255,11.92,7.14,1.9
256,12.06,4.76,1.9
257,12.32,3.71,1.9
258,12.48,2.96,2.1
259,12.7,6.18,2
260,12.91,4.95,1.9
261,13.06,4.41,2.2
262,13.18,5.69,2.3
263,12.93,7.66,2.5
264,12.56,6.07,2.5
265,12.38,3.34,2.6
266,12.64,5.5,2.4
267,13.39,5.01,2.5
268,13.79,12.71,2.3
269,13.23,4.44,2.3
270,13.08,3.21,2.3
271,13.18,5.4,2.2
272,12.97,6.1,2.3
273,13.13,4.34,2.9
274,13.54,4.82,2.8
275,13.83,6.95,2.9
276,13.57,4.39,2.6
277,13.51,3.73,2.6
278,13.59,4.02,2.6
279,13.61,1.92,2.8
280,13.29,3.79,2.8
