,WeatherStation,InitialN,SoilCategory,Texture,Rocks,SampleDepth,PMN,Splits,PrePlantRain,InCropRain,Irrigation,PriorCropNameFull,PriorFieldYield,PriorFieldLoss,PriorDressingLoss,PriorMoistureContent,PriorEstablishDate,PriorEstablishStage,PriorHarvestDate,PriorHarvestStage,PriorResidueRemoval,PriorResidueIncorporation,CurrentCropNameFull,CurrentFieldYield,CurrentFieldLoss,CurrentDressingLoss,CurrentMoistureContent,CurrentEstablishDate,CurrentEstablishStage,CurrentHarvestDate,CurrentHarvestStage,CurrentResidueRemoval,CurrentResidueIncorporation,FollowingCropNameFull,FollowingFieldYield,FollowingFieldLoss,FollowingDressingLoss,FollowingMoistureContent,FollowingEstablishDate,FollowingEstablishStage,FollowingHarvestDate,FollowingHarvestStage,FollowingResidueRemoval,FollowingResidueIncorporation
invercargill_Aut,invercargill,50,Sedimentary,Silt loam,0,0-30cm,50,3,Typical,Very Dry,Full,TestResidue05,13,0,0,13,2022-09-27,Seed,2023-01-25,Maturity,None removed,Full (Plough),TestResidue45,8,0,0,15,2023-04-10,Seed,2023-08-04,Maturity,None removed,Full (Plough),Oat Fodder General,10,0,0,0,2023-09-01,Seed,2023-10-01,EarlyReproductive,None removed,Full (Plough)
ashburton_Aut,ashburton,50,Sedimentary,Silt loam,0,0-30cm,50,3,Typical,Very Dry,Full,TestResidue05,13,0,0,13,2022-09-27,Seed,2023-01-25,Maturity,None removed,Full (Plough),TestResidue45,8,0,0,15,2023-04-10,Seed,2023-08-04,Maturity,None removed,Full (Plough),Oat Fodder General,10,0,0,0,2023-09-01,Seed,2023-10-01,EarlyReproductive,None removed,Full (Plough)
blenheim_Aut,blenheim,50,Sedimentary,Silt loam,0,0-30cm,50,3,Typical,Very Dry,Full,TestResidue05,13,0,0,13,2022-09-27,Seed,2023-01-25,Maturity,None removed,Full (Plough),TestResidue45,8,0,0,15,2023-04-10,Seed,2023-08-04,Maturity,None removed,Full (Plough),Oat Fodder General,10,0,0,0,2023-09-01,Seed,2023-10-01,EarlyReproductive,None removed,Full (Plough)
levin_Aut,levin,50,Sedimentary,Silt loam,0,0-30cm,50,3,Typical,Very Dry,Full,TestResidue05,13,0,0,13,2022-09-27,Seed,2023-01-25,Maturity,None removed,Full (Plough),TestResidue45,8,0,0,15,2023-04-10,Seed,2023-08-04,Maturity,None removed,Full (Plough),Oat Fodder General,10,0,0,0,2023-09-01,Seed,2023-10-01,EarlyReproductive,None removed,Full (Plough)
hastings_Aut,hastings,50,Sedimentary,Silt loam,0,0-30cm,50,3,Typical,Very Dry,Full,TestResidue05,13,0,0,13,2022-09-27,Seed,2023-01-25,Maturity,None removed,Full (Plough),TestResidue45,8,0,0,15,2023-04-10,Seed,2023-08-04,Maturity,None removed,Full (Plough),Oat Fodder General,10,0,0,0,2023-09-01,Seed,2023-10-01,EarlyReproductive,None removed,Full (Plough)
kerikeri_Aut,kerikeri,50,Sedimentary,Silt loam,0,0-30cm,50,3,Typical,Very Dry,Full,TestResidue05,13,0,0,13,2022-09-27,Seed,2023-01-25,Maturity,None removed,Full (Plough),TestResidue45,8,0,0,15,2023-04-10,Seed,2023-08-04,Maturity,None removed,Full (Plough),Oat Fodder General,10,0,0,0,2023-09-01,Seed,2023-10-01,EarlyReproductive,None removed,Full (Plough)
invercargill_Spr,invercargill,50,Sedimentary,Silt loam,0,0-30cm,50,3,Typical,Very Dry,Full,TestResidue05,13,0,0,13,2023-04-10,Seed,2023-08-04,Maturity,None removed,Full (Plough),TestResidue45,8,0,0,15,2023-09-01,Seed,2023-12-01,Maturity,None removed,Full (Plough),Oat Fodder General,10,0,0,0,2024-01-01,Seed,2024-03-01,EarlyReproductive,None removed,Full (Plough)
ashburton_Spr,ashburton,50,Sedimentary,Silt loam,0,0-30cm,50,3,Typical,Very Dry,Full,TestResidue05,13,0,0,13,2023-04-10,Seed,2023-08-04,Maturity,None removed,Full (Plough),TestResidue45,8,0,0,15,2023-09-01,Seed,2023-12-01,Maturity,None removed,Full (Plough),Oat Fodder General,10,0,0,0,2024-01-01,Seed,2024-03-01,EarlyReproductive,None removed,Full (Plough)
blenheim_Spr,blenheim,50,Sedimentary,Silt loam,0,0-30cm,50,3,Typical,Very Dry,Full,TestResidue05,13,0,0,13,2023-04-10,Seed,2023-08-04,Maturity,None removed,Full (Plough),TestResidue45,8,0,0,15,2023-09-01,Seed,2023-12-01,Maturity,None removed,Full (Plough),Oat Fodder General,10,0,0,0,2024-01-01,Seed,2024-03-01,EarlyReproductive,None removed,Full (Plough)
levin_Spr,levin,50,Sedimentary,Silt loam,0,0-30cm,50,3,Typical,Very Dry,Full,TestResidue05,13,0,0,13,2023-04-10,Seed,2023-08-04,Maturity,None removed,Full (Plough),TestResidue45,8,0,0,15,2023-09-01,Seed,2023-12-01,Maturity,None removed,Full (Plough),Oat Fodder General,10,0,0,0,2024-01-01,Seed,2024-03-01,EarlyReproductive,None removed,Full (Plough)
hastings_Spr,hastings,50,Sedimentary,Silt loam,0,0-30cm,50,3,Typical,Very Dry,Full,TestResidue05,13,0,0,13,2023-04-10,Seed,2023-08-04,Maturity,None removed,Full (Plough),TestResidue45,8,0,0,15,2023-09-01,Seed,2023-12-01,Maturity,None removed,Full (Plough),Oat Fodder General,10,0,0,0,2024-01-01,Seed,2024-03-01,EarlyReproductive,None removed,Full (Plough)
kerikeri_Spr,kerikeri,50,Sedimentary,Silt loam,0,0-30cm,50,3,Typical,Very Dry,Full,TestResidue05,13,0,0,13,2023-04-10,Seed,2023-08-04,Maturity,None removed,Full (Plough),TestResidue45,8,0,0,15,2023-09-01,Seed,2023-12-01,Maturity,None removed,Full (Plough),Oat Fodder General,10,0,0,0,2024-01-01,Seed,2024-03-01,EarlyReproductive,None removed,Full (Plough)
