Site,NitrogenTreatment,IrrigationTreatment,Location,Rotation,Crop,Date,SoilN0_15,SoilN15_30,SoilN30_60,SoilN60_90,SoilN90_120,SoilN120_150,SoilN0_30,SoilN0_60,SoilN0_90,SoilN0_120,SoilN0_150
LincolnRot1_N1_Irr1,N1,Irr1,Lincoln,Rotation1,Broccoli,2021-02-24,19.852,17.249,7.450,1.820,2.104,1.205,37.101,44.551,46.370,,
LincolnRot1_N1_Irr1,N1,Irr1,Lincoln,Rotation1,Broccoli,2021-04-06,33.668,21.238,6.747,2.834,,,54.906,61.653,64.487,,
LincolnRot1_N1_Irr1,N1,Irr1,Lincoln,Rotation1,Broccoli,2021-05-03,9.192,15.247,11.238,1.117,,,24.439,35.678,36.795,,
LincolnRot1_N1_Irr1,N1,Irr1,Lincoln,Rotation1,Broccoli,2021-06-10,3.668,3.919,4.062,3.347,2.428,,7.588,11.650,14.997,,
LincolnRot1_N1_Irr1,N1,Irr1,Lincoln,Rotation1,Broccoli,2021-06-30,4.794,4.836,4.512,2.810,2.845,2.850,9.631,14.143,16.953,,
LincolnRot1_N2_Irr1,N2,Irr1,Lincoln,Rotation1,Broccoli,2021-02-24,18.168,16.160,6.369,2.281,2.195,2.679,34.328,40.696,42.977,,
LincolnRot1_N2_Irr1,N2,Irr1,Lincoln,Rotation1,Broccoli,2021-04-06,38.062,24.514,14.831,5.109,,,62.576,77.407,82.516,,
LincolnRot1_N2_Irr1,N2,Irr1,Lincoln,Rotation1,Broccoli,2021-05-03,12.937,12.662,11.975,4.077,,,25.598,37.574,41.651,,
LincolnRot1_N2_Irr1,N2,Irr1,Lincoln,Rotation1,Broccoli,2021-06-10,3.751,5.681,5.309,4.316,3.438,,9.432,14.741,19.057,,
LincolnRot1_N2_Irr1,N2,Irr1,Lincoln,Rotation1,Broccoli,2021-06-30,6.523,5.019,4.656,3.853,3.521,3.465,11.542,16.197,20.051,,
LincolnRot1_N3_Irr1,N3,Irr1,Lincoln,Rotation1,Broccoli,2021-02-24,14.329,16.220,5.314,3.296,5.203,3.513,30.549,35.863,39.158,,
LincolnRot1_N3_Irr1,N3,Irr1,Lincoln,Rotation1,Broccoli,2021-04-06,44.676,23.198,9.388,4.547,,,67.874,77.262,81.808,,
LincolnRot1_N3_Irr1,N3,Irr1,Lincoln,Rotation1,Broccoli,2021-05-03,23.769,15.877,12.599,2.881,,,39.647,52.246,55.127,,
LincolnRot1_N3_Irr1,N3,Irr1,Lincoln,Rotation1,Broccoli,2021-06-10,4.323,7.024,7.455,4.110,3.638,,11.347,18.802,22.912,,
LincolnRot1_N3_Irr1,N3,Irr1,Lincoln,Rotation1,Broccoli,2021-06-30,4.666,4.551,5.860,5.190,6.307,8.086,9.217,15.078,20.267,,
LincolnRot1_N4_Irr1,N4,Irr1,Lincoln,Rotation1,Broccoli,2021-02-24,24.958,29.980,11.320,12.345,10.446,3.119,54.938,66.258,78.603,,
LincolnRot1_N4_Irr1,N4,Irr1,Lincoln,Rotation1,Broccoli,2021-04-06,45.926,30.128,14.127,12.599,,,76.054,90.181,102.780,,
LincolnRot1_N4_Irr1,N4,Irr1,Lincoln,Rotation1,Broccoli,2021-05-03,53.525,31.397,24.540,23.147,,,84.923,109.462,132.609,,
LincolnRot1_N4_Irr1,N4,Irr1,Lincoln,Rotation1,Broccoli,2021-06-10,5.762,11.452,19.169,15.742,13.707,,17.214,36.383,52.125,,
LincolnRot1_N4_Irr1,N4,Irr1,Lincoln,Rotation1,Broccoli,2021-06-30,5.408,10.929,20.391,22.484,24.601,19.976,16.337,36.728,59.213,,
LincolnRot1_N1_Irr2,N1,Irr2,Lincoln,Rotation1,Broccoli,2021-02-24,16.466,16.966,6.253,1.835,1.477,0.818,33.431,39.685,41.520,,
LincolnRot1_N1_Irr2,N1,Irr2,Lincoln,Rotation1,Broccoli,2021-04-06,35.210,22.953,7.797,3.412,,,58.163,65.960,69.372,,
LincolnRot1_N1_Irr2,N1,Irr2,Lincoln,Rotation1,Broccoli,2021-05-03,6.396,10.905,21.685,2.277,,,17.301,38.986,41.263,,
LincolnRot1_N1_Irr2,N1,Irr2,Lincoln,Rotation1,Broccoli,2021-06-10,3.418,3.873,3.532,2.197,3.380,,7.291,10.823,13.020,,
LincolnRot1_N1_Irr2,N1,Irr2,Lincoln,Rotation1,Broccoli,2021-06-30,4.814,4.349,5.847,4.369,3.701,2.915,9.163,15.010,19.379,,
LincolnRot1_N2_Irr2,N2,Irr2,Lincoln,Rotation1,Broccoli,2021-02-24,14.131,15.308,4.295,2.721,3.807,0.662,29.439,33.734,36.454,,
